"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0001518","Mada","2026-03-05","AlQurashi-KSA","72017","55009","7277.0","SAR","AL Jazeerah BankRYDPARK","2026-03-05"
"Mada-BLKU-0001519","Mada","2026-03-06","AlQurashi-KSA","72017","55009","7642.0","SAR","AL Jazeerah BankRYDPARK","2026-03-06"
"Mada-BLKU-0001520","Mada","2026-03-07","AlQurashi-KSA","72017","55009","8528.0","SAR","AL Jazeerah BankRYDPARK","2026-03-07"
"Mada-BLKU-0001521","Mada","2026-03-08","AlQurashi-KSA","72017","55009","8262.0","SAR","AL Jazeerah BankRYDPARK","2026-03-08"
"Mada-BLKU-0001522","Mada","2026-03-09","AlQurashi-KSA","72017","55009","7883.0","SAR","AL Jazeerah BankRYDPARK","2026-03-09"
"Mada-BLKU-0001523","Mada","2026-03-10","AlQurashi-KSA","72017","55009","9382.0","SAR","AL Jazeerah BankRYDPARK","2026-03-10"
"Mada-BLKU-0001524","Mada","2026-03-11","AlQurashi-KSA","72017","55009","7974.0","SAR","AL Jazeerah BankRYDPARK","2026-03-11"
"Mada-BLKU-0001525","Mada","2026-03-12","AlQurashi-KSA","72017","55009","7488.0","SAR","AL Jazeerah BankRYDPARK","2026-03-12"
"Mada-BLKU-0001526","Mada","2026-03-13","AlQurashi-KSA","72017","55009","11751.0","SAR","AL Jazeerah BankRYDPARK","2026-03-13"
"Mada-BLKU-0001527","Mada","2026-03-14","AlQurashi-KSA","72017","55009","13015.0","SAR","AL Jazeerah BankRYDPARK","2026-03-14"
"Mada-BLKU-0001528","Mada","2026-03-15","AlQurashi-KSA","72017","55009","11533.0","SAR","AL Jazeerah BankRYDPARK","2026-03-15"
"Mada-BLKU-0001529","Mada","2026-03-16","AlQurashi-KSA","72017","55009","6951.0","SAR","AL Jazeerah BankRYDPARK","2026-03-16"
"Mada-BLKU-0001530","Mada","2026-03-17","AlQurashi-KSA","72017","55009","12175.0","SAR","AL Jazeerah BankRYDPARK","2026-03-17"
"Mada-BLKU-0001531","Mada","2026-03-18","AlQurashi-KSA","72017","55009","10759.0","SAR","AL Jazeerah BankRYDPARK","2026-03-18"
"Mada-BLKU-0001533","Mada","2026-03-19","AlQurashi-KSA","72017","55009","11486.0","SAR","AL Jazeerah BankRYDPARK","2026-03-19"
"Mada-BLKU-0001534","Mada","2026-03-20","AlQurashi-KSA","72017","55009","4037.0","SAR","AL Jazeerah BankRYDPARK","2026-03-20"
"Mada-BLKU-0001535","Mada","2026-03-21","AlQurashi-KSA","72017","55009","3559.0","SAR","AL Jazeerah BankRYDPARK","2026-03-21"
"Mada-BLKU-0001536","Mada","2026-03-22","AlQurashi-KSA","72017","55009","4851.0","SAR","AL Jazeerah BankRYDPARK","2026-03-22"
"Mada-BLKU-0001537","Mada","2026-03-23","AlQurashi-KSA","72017","55009","4113.0","SAR","AL Jazeerah BankRYDPARK","2026-03-23"
"Mada-BLKU-0001538","Mada","2026-03-24","AlQurashi-KSA","72017","55009","3715.0","SAR","AL Jazeerah BankRYDPARK","2026-03-24"
"Mada-BLKU-0001539","Mada","2026-03-25","AlQurashi-KSA","72017","55009","4259.0","SAR","AL Jazeerah BankRYDPARK","2026-03-25"
"Mada-BLKU-0001540","Mada","2026-03-26","AlQurashi-KSA","72017","55009","3411.0","SAR","AL Jazeerah BankRYDPARK","2026-03-26"
"Mada-BLKU-0001541","Mada","2026-03-27","AlQurashi-KSA","72017","55009","3830.0","SAR","AL Jazeerah BankRYDPARK","2026-03-27"
"Mada-BLKU-0001542","Mada","2026-03-28","AlQurashi-KSA","72017","55009","3838.0","SAR","AL Jazeerah BankRYDPARK","2026-03-28"
"Mada-BLKU-0001543","Mada","2026-03-29","AlQurashi-KSA","72017","55009","1615.0","SAR","AL Jazeerah BankRYDPARK","2026-03-29"
"Mada-BLKU-0001544","Mada","2026-03-30","AlQurashi-KSA","72017","55009","2356.0","SAR","AL Jazeerah BankRYDPARK","2026-03-30"
"Mada-BLKU-0001545","Mada","2026-03-31","AlQurashi-KSA","72017","55009","2616.0","SAR","AL Jazeerah BankRYDPARK","2026-03-31"
