"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-PAYMENT-AZIZIARYD/23321 REFUND","Cash","2026-03-12","AlQurashi-KSA","88020","74010","-99.0","SAR","Cash AZIZIARYD","2026-03-12"
"Cash-PAYMENT-NAKHELMALL/68077 REFUND","Cash","2026-03-16","AlQurashi-KSA","3003","2003","-210.0","SAR","CashOth Mall Hail","2026-03-16"
"Cash-BLKU-0001556","Cash","2026-03-05","AlQurashi-KSA","83018","69004","2179.0","SAR","Cash RYDSHIFA","2026-03-05"
"Cash-BLKU-0001557","Cash","2026-03-06","AlQurashi-KSA","83018","69004","6518.0","SAR","Cash RYDSHIFA","2026-03-06"
"Cash-BLKU-0001558","Cash","2026-03-07","AlQurashi-KSA","83018","69004","2460.0","SAR","Cash RYDSHIFA","2026-03-07"
"Cash-BLKU-0001559","Cash","2026-03-08","AlQurashi-KSA","83018","69004","2689.0","SAR","Cash RYDSHIFA","2026-03-08"
"Cash-BLKU-0001560","Cash","2026-03-09","AlQurashi-KSA","83018","69004","3463.0","SAR","Cash RYDSHIFA","2026-03-09"
"Cash-BLKU-0001561","Cash","2026-03-10","AlQurashi-KSA","83018","69004","3948.0","SAR","Cash RYDSHIFA","2026-03-10"
"Cash-BLKU-0001562","Cash","2026-03-11","AlQurashi-KSA","83018","69004","1052.0","SAR","Cash RYDSHIFA","2026-03-11"
"Cash-BLKU-0001564","Cash","2026-03-12","AlQurashi-KSA","83018","69004","4576.0","SAR","Cash RYDSHIFA","2026-03-12"
"Cash-BLKU-0001565","Cash","2026-03-13","AlQurashi-KSA","83018","69004","8799.0","SAR","Cash RYDSHIFA","2026-03-13"
"Cash-BLKU-0001566","Cash","2026-03-14","AlQurashi-KSA","83018","69004","4425.0","SAR","Cash RYDSHIFA","2026-03-14"
"Cash-BLKU-0001567","Cash","2026-03-15","AlQurashi-KSA","83018","69004","2582.0","SAR","Cash RYDSHIFA","2026-03-15"
"Cash-BLKU-0001569","Cash","2026-03-16","AlQurashi-KSA","83018","69004","5595.0","SAR","Cash RYDSHIFA","2026-03-16"
"Cash-BLKU-0001570","Cash","2026-03-17","AlQurashi-KSA","83018","69004","8589.0","SAR","Cash RYDSHIFA","2026-03-17"
"Cash-BLKU-0001571","Cash","2026-03-18","AlQurashi-KSA","83018","69004","3145.0","SAR","Cash RYDSHIFA","2026-03-18"
"Cash-BLKU-0001572","Cash","2026-03-19","AlQurashi-KSA","83018","69004","5011.0","SAR","Cash RYDSHIFA","2026-03-19"
"Cash-BLKU-0001573","Cash","2026-03-20","AlQurashi-KSA","83018","69004","1869.0","SAR","Cash RYDSHIFA","2026-03-20"
"Cash-BLKU-0001574","Cash","2026-03-21","AlQurashi-KSA","83018","69004","2740.0","SAR","Cash RYDSHIFA","2026-03-21"
"Cash-BLKU-0001575","Cash","2026-03-22","AlQurashi-KSA","83018","69004","2552.0","SAR","Cash RYDSHIFA","2026-03-22"
"Cash-BLKU-0001576","Cash","2026-03-23","AlQurashi-KSA","83018","69004","1547.0","SAR","Cash RYDSHIFA","2026-03-23"
"Cash-BLKU-0001577","Cash","2026-03-24","AlQurashi-KSA","83018","69004","2797.0","SAR","Cash RYDSHIFA","2026-03-24"
"Cash-BLKU-0001578","Cash","2026-03-25","AlQurashi-KSA","83018","69004","1904.0","SAR","Cash RYDSHIFA","2026-03-25"
"Cash-BLKU-0001579","Cash","2026-03-26","AlQurashi-KSA","83018","69004","3273.0","SAR","Cash RYDSHIFA","2026-03-26"
"Cash-BLKU-0001580","Cash","2026-03-27","AlQurashi-KSA","83018","69004","965.0","SAR","Cash RYDSHIFA","2026-03-27"
"Cash-BLKU-0001581","Cash","2026-03-28","AlQurashi-KSA","83018","69004","2000.0","SAR","Cash RYDSHIFA","2026-03-28"
"Cash-BLKU-0001582","Cash","2026-03-29","AlQurashi-KSA","83018","69004","1578.0","SAR","Cash RYDSHIFA","2026-03-29"
"Cash-BLKU-0001583","Cash","2026-03-30","AlQurashi-KSA","83018","69004","799.0","SAR","Cash RYDSHIFA","2026-03-30"
"Cash-BLKU-0001584","Cash","2026-03-31","AlQurashi-KSA","83018","69004","1095.0","SAR","Cash RYDSHIFA","2026-03-31"
