"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0001603","Master","2026-03-05","AlQurashi-KSA","15","15","2813.0","SAR","015795017321009","2026-03-05"
"Master-BLKU-0001604","Master","2026-03-06","AlQurashi-KSA","15","15","647.0","SAR","015795017321009","2026-03-06"
"Master-BLKU-0001605","Master","2026-03-07","AlQurashi-KSA","15","15","10188.0","SAR","015795017321009","2026-03-07"
"Master-BLKU-0001606","Master","2026-03-08","AlQurashi-KSA","15","15","8588.0","SAR","015795017321009","2026-03-08"
"Master-BLKU-0001607","Master","2026-03-09","AlQurashi-KSA","15","15","697.0","SAR","015795017321009","2026-03-09"
"Master-BLKU-0001608","Master","2026-03-10","AlQurashi-KSA","15","15","18698.0","SAR","015795017321009","2026-03-10"
"Master-BLKU-0001609","Master","2026-03-11","AlQurashi-KSA","15","15","1539.0","SAR","015795017321009","2026-03-11"
"Master-BLKU-0001610","Master","2026-03-12","AlQurashi-KSA","15","15","1786.0","SAR","015795017321009","2026-03-12"
"Master-BLKU-0001611","Master","2026-03-13","AlQurashi-KSA","15","15","3129.0","SAR","015795017321009","2026-03-13"
"Master-BLKU-0001612","Master","2026-03-14","AlQurashi-KSA","15","15","1919.0","SAR","015795017321009","2026-03-14"
"Master-BLKU-0001613","Master","2026-03-15","AlQurashi-KSA","15","15","1318.0","SAR","015795017321009","2026-03-15"
"Master-BLKU-0001614","Master","2026-03-16","AlQurashi-KSA","15","15","1372.0","SAR","015795017321009","2026-03-16"
"Master-BLKU-0001615","Master","2026-03-17","AlQurashi-KSA","15","15","3650.0","SAR","015795017321009","2026-03-17"
"Master-BLKU-0001616","Master","2026-03-18","AlQurashi-KSA","15","15","407.0","SAR","015795017321009","2026-03-18"
"Master-BLKU-0001617","Master","2026-03-19","AlQurashi-KSA","15","15","2871.0","SAR","015795017321009","2026-03-19"
"Master-BLKU-0001618","Master","2026-03-20","AlQurashi-KSA","15","15","2886.0","SAR","015795017321009","2026-03-20"
"Master-BLKU-0001619","Master","2026-03-21","AlQurashi-KSA","15","15","222.0","SAR","015795017321009","2026-03-21"
"Master-BLKU-0001620","Master","2026-03-22","AlQurashi-KSA","15","15","3312.0","SAR","015795017321009","2026-03-22"
"Master-BLKU-0001621","Master","2026-03-23","AlQurashi-KSA","15","15","798.0","SAR","015795017321009","2026-03-23"
"Master-BLKU-0001622","Master","2026-03-24","AlQurashi-KSA","15","15","180.0","SAR","015795017321009","2026-03-24"
"Master-BLKU-0001623","Master","2026-03-25","AlQurashi-KSA","15","15","8614.0","SAR","015795017321009","2026-03-25"
"Master-BLKU-0001624","Master","2026-03-26","AlQurashi-KSA","15","15","869.0","SAR","015795017321009","2026-03-26"
"Master-BLKU-0001626","Master","2026-03-28","AlQurashi-KSA","15","15","769.0","SAR","015795017321009","2026-03-28"
"Master-BLKU-0001627","Master","2026-03-29","AlQurashi-KSA","15","15","597.0","SAR","015795017321009","2026-03-29"
"Master-BLKU-0001628","Master","2026-03-30","AlQurashi-KSA","15","15","697.0","SAR","015795017321009","2026-03-30"
"Master-BLKU-0001629","Master","2026-03-31","AlQurashi-KSA","15","15","1540.0","SAR","015795017321009","2026-03-31"
