"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"AMEX-BLKU-0001612","AMEX","2026-03-14","AlQurashi-KSA","15","15","499.0","SAR","015795017321009","2026-03-14"
"AMEX-BLKU-0001614","AMEX","2026-03-16","AlQurashi-KSA","15","15","299.0","SAR","015795017321009","2026-03-16"
"AMEX-BLKU-0001616","AMEX","2026-03-18","AlQurashi-KSA","15","15","493.0","SAR","015795017321009","2026-03-18"
"AMEX-BLKU-0001617","AMEX","2026-03-19","AlQurashi-KSA","15","15","-493.0","SAR","015795017321009","2026-03-19"
"AMEX-BLKU-0001623","AMEX","2026-03-25","AlQurashi-KSA","15","15","489.0","SAR","015795017321009","2026-03-25"
"Cash-BLKU-0001603","Cash","2026-03-05","AlQurashi-KSA","15","15","6760.0","SAR","015795017321009","2026-03-05"
"Cash-BLKU-0001604","Cash","2026-03-06","AlQurashi-KSA","15","15","8671.0","SAR","015795017321009","2026-03-06"
"Cash-BLKU-0001605","Cash","2026-03-07","AlQurashi-KSA","15","15","8776.0","SAR","015795017321009","2026-03-07"
"Cash-BLKU-0001606","Cash","2026-03-08","AlQurashi-KSA","15","15","17529.0","SAR","015795017321009","2026-03-08"
"Cash-BLKU-0001607","Cash","2026-03-09","AlQurashi-KSA","15","15","11481.0","SAR","015795017321009","2026-03-09"
"Cash-BLKU-0001608","Cash","2026-03-10","AlQurashi-KSA","15","15","6530.0","SAR","015795017321009","2026-03-10"
"Cash-BLKU-0001609","Cash","2026-03-11","AlQurashi-KSA","15","15","5021.0","SAR","015795017321009","2026-03-11"
"Cash-BLKU-0001610","Cash","2026-03-12","AlQurashi-KSA","15","15","10661.0","SAR","015795017321009","2026-03-12"
"Cash-BLKU-0001611","Cash","2026-03-13","AlQurashi-KSA","15","15","17493.0","SAR","015795017321009","2026-03-13"
"Cash-BLKU-0001612","Cash","2026-03-14","AlQurashi-KSA","15","15","12245.0","SAR","015795017321009","2026-03-14"
"Cash-BLKU-0001613","Cash","2026-03-15","AlQurashi-KSA","15","15","12609.0","SAR","015795017321009","2026-03-15"
"Cash-BLKU-0001614","Cash","2026-03-16","AlQurashi-KSA","15","15","5949.0","SAR","015795017321009","2026-03-16"
"Cash-BLKU-0001615","Cash","2026-03-17","AlQurashi-KSA","15","15","10619.0","SAR","015795017321009","2026-03-17"
"Cash-BLKU-0001616","Cash","2026-03-18","AlQurashi-KSA","15","15","10456.0","SAR","015795017321009","2026-03-18"
"Cash-BLKU-0001617","Cash","2026-03-19","AlQurashi-KSA","15","15","19127.0","SAR","015795017321009","2026-03-19"
