"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0001603","Visa","2026-03-05","AlQurashi-KSA","15","15","1616.0","SAR","015795017321009","2026-03-05"
"Visa-BLKU-0001604","Visa","2026-03-06","AlQurashi-KSA","15","15","1669.0","SAR","015795017321009","2026-03-06"
"Visa-BLKU-0001605","Visa","2026-03-07","AlQurashi-KSA","15","15","2806.0","SAR","015795017321009","2026-03-07"
"Visa-BLKU-0001606","Visa","2026-03-08","AlQurashi-KSA","15","15","3058.0","SAR","015795017321009","2026-03-08"
"Visa-BLKU-0001607","Visa","2026-03-09","AlQurashi-KSA","15","15","3617.0","SAR","015795017321009","2026-03-09"
"Visa-BLKU-0001608","Visa","2026-03-10","AlQurashi-KSA","15","15","1852.0","SAR","015795017321009","2026-03-10"
"Visa-BLKU-0001609","Visa","2026-03-11","AlQurashi-KSA","15","15","3615.0","SAR","015795017321009","2026-03-11"
"Visa-BLKU-0001610","Visa","2026-03-12","AlQurashi-KSA","15","15","5334.0","SAR","015795017321009","2026-03-12"
"Visa-BLKU-0001611","Visa","2026-03-13","AlQurashi-KSA","15","15","4312.0","SAR","015795017321009","2026-03-13"
"Visa-BLKU-0001612","Visa","2026-03-14","AlQurashi-KSA","15","15","5090.0","SAR","015795017321009","2026-03-14"
"Visa-BLKU-0001613","Visa","2026-03-15","AlQurashi-KSA","15","15","3346.0","SAR","015795017321009","2026-03-15"
"Visa-BLKU-0001614","Visa","2026-03-16","AlQurashi-KSA","15","15","3076.0","SAR","015795017321009","2026-03-16"
"Visa-BLKU-0001615","Visa","2026-03-17","AlQurashi-KSA","15","15","3238.0","SAR","015795017321009","2026-03-17"
"Visa-BLKU-0001616","Visa","2026-03-18","AlQurashi-KSA","15","15","5202.0","SAR","015795017321009","2026-03-18"
"Visa-BLKU-0001617","Visa","2026-03-19","AlQurashi-KSA","15","15","8329.0","SAR","015795017321009","2026-03-19"
"Visa-BLKU-0001618","Visa","2026-03-20","AlQurashi-KSA","15","15","870.0","SAR","015795017321009","2026-03-20"
"Visa-BLKU-0001619","Visa","2026-03-21","AlQurashi-KSA","15","15","3039.0","SAR","015795017321009","2026-03-21"
"Visa-BLKU-0001620","Visa","2026-03-22","AlQurashi-KSA","15","15","1444.0","SAR","015795017321009","2026-03-22"
"Visa-BLKU-0001621","Visa","2026-03-23","AlQurashi-KSA","15","15","628.0","SAR","015795017321009","2026-03-23"
"Visa-BLKU-0001622","Visa","2026-03-24","AlQurashi-KSA","15","15","2241.0","SAR","015795017321009","2026-03-24"
"Visa-BLKU-0001623","Visa","2026-03-25","AlQurashi-KSA","15","15","597.0","SAR","015795017321009","2026-03-25"
"Visa-BLKU-0001624","Visa","2026-03-26","AlQurashi-KSA","15","15","801.0","SAR","015795017321009","2026-03-26"
"Visa-BLKU-0001625","Visa","2026-03-27","AlQurashi-KSA","15","15","1043.0","SAR","015795017321009","2026-03-27"
"Visa-BLKU-0001626","Visa","2026-03-28","AlQurashi-KSA","15","15","3452.0","SAR","015795017321009","2026-03-28"
"Visa-BLKU-0001627","Visa","2026-03-29","AlQurashi-KSA","15","15","485.0","SAR","015795017321009","2026-03-29"
"Visa-BLKU-0001628","Visa","2026-03-30","AlQurashi-KSA","15","15","692.0","SAR","015795017321009","2026-03-30"
"Visa-BLKU-0001629","Visa","2026-03-31","AlQurashi-KSA","15","15","1055.0","SAR","015795017321009","2026-03-31"
