"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0001646","Mada","2026-03-05","AlQurashi-KSA","3007","2007","14347.0","SAR","015795017321-SALAMRYD2","2026-03-05"
"Mada-BLKU-0001647","Mada","2026-03-06","AlQurashi-KSA","3007","2007","9381.0","SAR","015795017321-SALAMRYD2","2026-03-06"
"Mada-BLKU-0001649","Mada","2026-03-07","AlQurashi-KSA","3007","2007","12932.0","SAR","015795017321-SALAMRYD2","2026-03-07"
"Mada-BLKU-0001651","Mada","2026-03-08","AlQurashi-KSA","3007","2007","10617.0","SAR","015795017321-SALAMRYD2","2026-03-08"
"Mada-BLKU-0001652","Mada","2026-03-09","AlQurashi-KSA","3007","2007","13646.0","SAR","015795017321-SALAMRYD2","2026-03-09"
"Mada-BLKU-0001653","Mada","2026-03-10","AlQurashi-KSA","3007","2007","15396.0","SAR","015795017321-SALAMRYD2","2026-03-10"
"Mada-BLKU-0001655","Mada","2026-03-11","AlQurashi-KSA","3007","2007","18815.0","SAR","015795017321-SALAMRYD2","2026-03-11"
"Mada-BLKU-0001656","Mada","2026-03-12","AlQurashi-KSA","3007","2007","10275.0","SAR","015795017321-SALAMRYD2","2026-03-12"
"Mada-BLKU-0001657","Mada","2026-03-13","AlQurashi-KSA","3007","2007","13682.0","SAR","015795017321-SALAMRYD2","2026-03-13"
"Mada-BLKU-0001658","Mada","2026-03-14","AlQurashi-KSA","3007","2007","20785.0","SAR","015795017321-SALAMRYD2","2026-03-14"
"Mada-BLKU-0001660","Mada","2026-03-15","AlQurashi-KSA","3007","2007","17291.0","SAR","015795017321-SALAMRYD2","2026-03-15"
"Mada-BLKU-0001662","Mada","2026-03-16","AlQurashi-KSA","3007","2007","14863.0","SAR","015795017321-SALAMRYD2","2026-03-16"
"Mada-BLKU-0001664","Mada","2026-03-17","AlQurashi-KSA","3007","2007","11889.0","SAR","015795017321-SALAMRYD2","2026-03-17"
"Mada-BLKU-0001666","Mada","2026-03-18","AlQurashi-KSA","3007","2007","17886.0","SAR","015795017321-SALAMRYD2","2026-03-18"
"Mada-BLKU-0001668","Mada","2026-03-19","AlQurashi-KSA","3007","2007","19655.0","SAR","015795017321-SALAMRYD2","2026-03-19"
"Mada-BLKU-0001669","Mada","2026-03-20","AlQurashi-KSA","3007","2007","5595.0","SAR","015795017321-SALAMRYD2","2026-03-20"
"Mada-BLKU-0001670","Mada","2026-03-21","AlQurashi-KSA","3007","2007","2876.0","SAR","015795017321-SALAMRYD2","2026-03-21"
"Mada-BLKU-0001671","Mada","2026-03-22","AlQurashi-KSA","3007","2007","4000.0","SAR","015795017321-SALAMRYD2","2026-03-22"
"Mada-BLKU-0001672","Mada","2026-03-23","AlQurashi-KSA","3007","2007","6630.0","SAR","015795017321-SALAMRYD2","2026-03-23"
"Mada-BLKU-0001673","Mada","2026-03-24","AlQurashi-KSA","3007","2007","1362.0","SAR","015795017321-SALAMRYD2","2026-03-24"
"Mada-BLKU-0001675","Mada","2026-03-25","AlQurashi-KSA","3007","2007","2868.0","SAR","015795017321-SALAMRYD2","2026-03-25"
"Mada-BLKU-0001676","Mada","2026-03-26","AlQurashi-KSA","3007","2007","4133.0","SAR","015795017321-SALAMRYD2","2026-03-26"
"Mada-BLKU-0001678","Mada","2026-03-27","AlQurashi-KSA","3007","2007","4165.0","SAR","015795017321-SALAMRYD2","2026-03-27"
"Mada-BLKU-0001679","Mada","2026-03-28","AlQurashi-KSA","3007","2007","2888.0","SAR","015795017321-SALAMRYD2","2026-03-28"
"Mada-BLKU-0001680","Mada","2026-03-29","AlQurashi-KSA","3007","2007","7210.0","SAR","015795017321-SALAMRYD2","2026-03-29"
"Mada-BLKU-0001681","Mada","2026-03-30","AlQurashi-KSA","3007","2007","2003.0","SAR","015795017321-SALAMRYD2","2026-03-30"
"Mada-BLKU-0001682","Mada","2026-03-31","AlQurashi-KSA","3007","2007","1737.0","SAR","015795017321-SALAMRYD2","2026-03-31"
