"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"AMEX-BLKU-0001666","AMEX","2026-03-18","AlQurashi-KSA","3007","2007","499.0","SAR","015795017321-SALAMRYD2","2026-03-18"
"Cash-PAYMENT-ALQASRMALL/11553 REFUND","Cash","2026-03-19","AlQurashi-KSA","123013","107008","-199.0","SAR","Cash ALQASRMALL","2026-03-19"
"Cash-PAYMENT-ALQASRMALL/11753 REFUND","Cash","2026-03-25","AlQurashi-KSA","123013","107008","-199.0","SAR","Cash ALQASRMALL","2026-03-25"
"Cash-PAYMENT-AZIZIARYD/23761 REFUND","Cash","2026-03-16","AlQurashi-KSA","88020","74010","-116.0","SAR","Cash AZIZIARYD","2026-03-16"
"Cash-PAYMENT-AZIZIARYD/23937 REFUND","Cash","2026-03-17","AlQurashi-KSA","88020","74010","-299.0","SAR","Cash AZIZIARYD","2026-03-17"
"Cash-PAYMENT-AZIZIARYD/24871 REFUND","Cash","2026-03-27","AlQurashi-KSA","88020","74010","-180.0","SAR","Cash AZIZIARYD","2026-03-27"
"Cash-PAYMENT-HAYAT/33122 REFUND","Cash","2026-03-07","AlQurashi-KSA","3002","2002","-135.0","SAR","Cash Al Hayat Mall","2026-03-07"
"Cash-PAYMENT-RYDGALLER/49423 REFUND","Cash","2026-03-08","AlQurashi-KSA","5","2","-399.0","SAR","CashOth Mall Hail","2026-03-08"
"Cash-PAYMENT-RYDTWIQDIS/1275 REFUND","Cash","2026-03-18","AlQurashi-KSA","164018","146021","-199.0","SAR","Cash RYDTWIQDIS","2026-03-18"
"Cash-BLKU-0001646","Cash","2026-03-05","AlQurashi-KSA","3007","2007","2422.0","SAR","Cash SALAMRYD2","2026-03-05"
"Cash-BLKU-0001647","Cash","2026-03-06","AlQurashi-KSA","3007","2007","1913.0","SAR","Cash SALAMRYD2","2026-03-06"
"Cash-BLKU-0001649","Cash","2026-03-07","AlQurashi-KSA","3007","2007","3202.0","SAR","Cash SALAMRYD2","2026-03-07"
"Cash-BLKU-0001651","Cash","2026-03-08","AlQurashi-KSA","3007","2007","1620.0","SAR","Cash SALAMRYD2","2026-03-08"
