"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0008143","Visa","2026-03-05","AlQurashi-KSA","145019","129058","864.0","SAR","015795017321-SALAMRYD2","2026-03-05"
"Visa-BLKU-0008144","Visa","2026-03-06","AlQurashi-KSA","145019","129058","3850.0","SAR","015795017321-SALAMRYD2","2026-03-06"
"Visa-BLKU-0008145","Visa","2026-03-07","AlQurashi-KSA","145019","129058","3478.0","SAR","015795017321-SALAMRYD2","2026-03-07"
"Visa-BLKU-0008146","Visa","2026-03-08","AlQurashi-KSA","145019","129058","1541.0","SAR","015795017321-SALAMRYD2","2026-03-08"
"Visa-BLKU-0008147","Visa","2026-03-09","AlQurashi-KSA","145019","129058","4229.0","SAR","015795017321-SALAMRYD2","2026-03-09"
"Visa-BLKU-0008148","Visa","2026-03-10","AlQurashi-KSA","145019","129058","2854.0","SAR","015795017321-SALAMRYD2","2026-03-10"
"Visa-BLKU-0008149","Visa","2026-03-11","AlQurashi-KSA","145019","129058","1559.0","SAR","015795017321-SALAMRYD2","2026-03-11"
"Visa-BLKU-0008150","Visa","2026-03-12","AlQurashi-KSA","145019","129058","2329.0","SAR","015795017321-SALAMRYD2","2026-03-12"
"Visa-BLKU-0008151","Visa","2026-03-13","AlQurashi-KSA","145019","129058","2146.0","SAR","015795017321-SALAMRYD2","2026-03-13"
"Visa-BLKU-0008152","Visa","2026-03-14","AlQurashi-KSA","145019","129058","3629.0","SAR","015795017321-SALAMRYD2","2026-03-14"
"Visa-BLKU-0008153","Visa","2026-03-15","AlQurashi-KSA","145019","129058","3861.0","SAR","015795017321-SALAMRYD2","2026-03-15"
"Visa-BLKU-0008154","Visa","2026-03-16","AlQurashi-KSA","145019","129058","3765.0","SAR","015795017321-SALAMRYD2","2026-03-16"
"Visa-BLKU-0008155","Visa","2026-03-17","AlQurashi-KSA","145019","129058","3250.0","SAR","015795017321-SALAMRYD2","2026-03-17"
"Visa-BLKU-0008156","Visa","2026-03-18","AlQurashi-KSA","145019","129058","3128.0","SAR","015795017321-SALAMRYD2","2026-03-18"
"Visa-BLKU-0008158","Visa","2026-03-19","AlQurashi-KSA","145019","129058","4682.0","SAR","015795017321-SALAMRYD2","2026-03-19"
"Visa-BLKU-0008159","Visa","2026-03-20","AlQurashi-KSA","145019","129058","740.0","SAR","015795017321-SALAMRYD2","2026-03-20"
"Visa-BLKU-0008161","Visa","2026-03-22","AlQurashi-KSA","145019","129058","947.0","SAR","015795017321-SALAMRYD2","2026-03-22"
"Visa-BLKU-0008162","Visa","2026-03-23","AlQurashi-KSA","145019","129058","298.0","SAR","015795017321-SALAMRYD2","2026-03-23"
"Visa-BLKU-0008163","Visa","2026-03-24","AlQurashi-KSA","145019","129058","731.0","SAR","015795017321-SALAMRYD2","2026-03-24"
"Visa-BLKU-0008164","Visa","2026-03-25","AlQurashi-KSA","145019","129058","54.0","SAR","015795017321-SALAMRYD2","2026-03-25"
"Visa-BLKU-0008165","Visa","2026-03-26","AlQurashi-KSA","145019","129058","898.0","SAR","015795017321-SALAMRYD2","2026-03-26"
"Visa-BLKU-0008166","Visa","2026-03-27","AlQurashi-KSA","145019","129058","1496.0","SAR","015795017321-SALAMRYD2","2026-03-27"
"Visa-BLKU-0008167","Visa","2026-03-28","AlQurashi-KSA","145019","129058","1294.0","SAR","015795017321-SALAMRYD2","2026-03-28"
"Visa-BLKU-0008168","Visa","2026-03-29","AlQurashi-KSA","145019","129058","126.0","SAR","015795017321-SALAMRYD2","2026-03-29"
"Visa-BLKU-0008170","Visa","2026-03-31","AlQurashi-KSA","145019","129058","591.0","SAR","015795017321-SALAMRYD2","2026-03-31"
