"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0008143","Master","2026-03-05","AlQurashi-KSA","145019","129058","498.0","SAR","015795017321-SALAMRYD2","2026-03-05"
"Master-BLKU-0008144","Master","2026-03-06","AlQurashi-KSA","145019","129058","598.0","SAR","015795017321-SALAMRYD2","2026-03-06"
"Master-BLKU-0008145","Master","2026-03-07","AlQurashi-KSA","145019","129058","199.0","SAR","015795017321-SALAMRYD2","2026-03-07"
"Master-BLKU-0008146","Master","2026-03-08","AlQurashi-KSA","145019","129058","498.0","SAR","015795017321-SALAMRYD2","2026-03-08"
"Master-BLKU-0008147","Master","2026-03-09","AlQurashi-KSA","145019","129058","439.0","SAR","015795017321-SALAMRYD2","2026-03-09"
"Master-BLKU-0008148","Master","2026-03-10","AlQurashi-KSA","145019","129058","464.0","SAR","015795017321-SALAMRYD2","2026-03-10"
"Master-BLKU-0008149","Master","2026-03-11","AlQurashi-KSA","145019","129058","115.0","SAR","015795017321-SALAMRYD2","2026-03-11"
"Master-BLKU-0008151","Master","2026-03-13","AlQurashi-KSA","145019","129058","398.0","SAR","015795017321-SALAMRYD2","2026-03-13"
"Master-BLKU-0008152","Master","2026-03-14","AlQurashi-KSA","145019","129058","859.0","SAR","015795017321-SALAMRYD2","2026-03-14"
"Master-BLKU-0008153","Master","2026-03-15","AlQurashi-KSA","145019","129058","769.0","SAR","015795017321-SALAMRYD2","2026-03-15"
"Master-BLKU-0008154","Master","2026-03-16","AlQurashi-KSA","145019","129058","238.0","SAR","015795017321-SALAMRYD2","2026-03-16"
"Master-BLKU-0008155","Master","2026-03-17","AlQurashi-KSA","145019","129058","675.0","SAR","015795017321-SALAMRYD2","2026-03-17"
"Master-BLKU-0008156","Master","2026-03-18","AlQurashi-KSA","145019","129058","222.0","SAR","015795017321-SALAMRYD2","2026-03-18"
"Master-BLKU-0008158","Master","2026-03-19","AlQurashi-KSA","145019","129058","1015.0","SAR","015795017321-SALAMRYD2","2026-03-19"
"Master-BLKU-0008159","Master","2026-03-20","AlQurashi-KSA","145019","129058","249.0","SAR","015795017321-SALAMRYD2","2026-03-20"
"Master-BLKU-0008166","Master","2026-03-27","AlQurashi-KSA","145019","129058","315.0","SAR","015795017321-SALAMRYD2","2026-03-27"
