"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0004739","Cash","2026-03-05","AlQurashi-KSA","108012","95003","3813.0","SAR","Cash SAMTAHMALL","2026-03-05"
"Cash-BLKU-0004740","Cash","2026-03-06","AlQurashi-KSA","108012","95003","1876.0","SAR","Cash SAMTAHMALL","2026-03-06"
"Cash-BLKU-0004741","Cash","2026-03-07","AlQurashi-KSA","108012","95003","3895.0","SAR","Cash SAMTAHMALL","2026-03-07"
"Cash-BLKU-0004742","Cash","2026-03-08","AlQurashi-KSA","108012","95003","2795.0","SAR","Cash SAMTAHMALL","2026-03-08"
"Cash-BLKU-0004743","Cash","2026-03-09","AlQurashi-KSA","108012","95003","1582.0","SAR","Cash SAMTAHMALL","2026-03-09"
"Cash-BLKU-0004744","Cash","2026-03-10","AlQurashi-KSA","108012","95003","2440.0","SAR","Cash SAMTAHMALL","2026-03-10"
"Cash-BLKU-0004745","Cash","2026-03-11","AlQurashi-KSA","108012","95003","3289.0","SAR","Cash SAMTAHMALL","2026-03-11"
"Cash-BLKU-0004746","Cash","2026-03-12","AlQurashi-KSA","108012","95003","4506.0","SAR","Cash SAMTAHMALL","2026-03-12"
"Cash-BLKU-0004747","Cash","2026-03-13","AlQurashi-KSA","108012","95003","3295.0","SAR","Cash SAMTAHMALL","2026-03-13"
"Cash-BLKU-0004748","Cash","2026-03-14","AlQurashi-KSA","108012","95003","2908.0","SAR","Cash SAMTAHMALL","2026-03-14"
"Cash-BLKU-0004749","Cash","2026-03-15","AlQurashi-KSA","108012","95003","3899.0","SAR","Cash SAMTAHMALL","2026-03-15"
"Cash-BLKU-0004750","Cash","2026-03-16","AlQurashi-KSA","108012","95003","5354.0","SAR","Cash SAMTAHMALL","2026-03-16"
"Cash-BLKU-0004751","Cash","2026-03-17","AlQurashi-KSA","108012","95003","5377.0","SAR","Cash SAMTAHMALL","2026-03-17"
"Cash-BLKU-0004752","Cash","2026-03-18","AlQurashi-KSA","108012","95003","4765.0","SAR","Cash SAMTAHMALL","2026-03-18"
"Cash-BLKU-0004753","Cash","2026-03-19","AlQurashi-KSA","108012","95003","5671.0","SAR","Cash SAMTAHMALL","2026-03-19"
"Cash-BLKU-0004754","Cash","2026-03-20","AlQurashi-KSA","108012","95003","3282.0","SAR","Cash SAMTAHMALL","2026-03-20"
"Cash-BLKU-0004755","Cash","2026-03-21","AlQurashi-KSA","108012","95003","171.0","SAR","Cash SAMTAHMALL","2026-03-21"
"Cash-BLKU-0004756","Cash","2026-03-22","AlQurashi-KSA","108012","95003","466.0","SAR","Cash SAMTAHMALL","2026-03-22"
"Cash-BLKU-0004757","Cash","2026-03-23","AlQurashi-KSA","108012","95003","458.0","SAR","Cash SAMTAHMALL","2026-03-23"
"Cash-BLKU-0004758","Cash","2026-03-24","AlQurashi-KSA","108012","95003","189.0","SAR","Cash SAMTAHMALL","2026-03-24"
"Cash-BLKU-0004759","Cash","2026-03-25","AlQurashi-KSA","108012","95003","885.0","SAR","Cash SAMTAHMALL","2026-03-25"
"Cash-BLKU-0004760","Cash","2026-03-26","AlQurashi-KSA","108012","95003","248.0","SAR","Cash SAMTAHMALL","2026-03-26"
"Cash-BLKU-0004761","Cash","2026-03-27","AlQurashi-KSA","108012","95003","598.0","SAR","Cash SAMTAHMALL","2026-03-27"
"Cash-BLKU-0004762","Cash","2026-03-28","AlQurashi-KSA","108012","95003","180.0","SAR","Cash SAMTAHMALL","2026-03-28"
"Cash-BLKU-0004763","Cash","2026-03-29","AlQurashi-KSA","108012","95003","955.0","SAR","Cash SAMTAHMALL","2026-03-29"
"Cash-BLKU-0004764","Cash","2026-03-30","AlQurashi-KSA","108012","95003","397.0","SAR","Cash SAMTAHMALL","2026-03-30"
"Cash-BLKU-0004765","Cash","2026-03-31","AlQurashi-KSA","108012","95003","876.0","SAR","Cash SAMTAHMALL","2026-03-31"
