"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0004783","Mada","2026-03-05","AlQurashi-KSA","88015","74004","8162.0","SAR","157-95017321-SMARTSHRYD","2026-03-05"
"Mada-BLKU-0004784","Mada","2026-03-06","AlQurashi-KSA","88015","74004","7113.0","SAR","157-95017321-SMARTSHRYD","2026-03-06"
"Mada-BLKU-0004785","Mada","2026-03-07","AlQurashi-KSA","88015","74004","8217.0","SAR","157-95017321-SMARTSHRYD","2026-03-07"
"Mada-BLKU-0004786","Mada","2026-03-08","AlQurashi-KSA","88015","74004","5338.0","SAR","157-95017321-SMARTSHRYD","2026-03-08"
"Mada-BLKU-0004787","Mada","2026-03-09","AlQurashi-KSA","88015","74004","5107.0","SAR","157-95017321-SMARTSHRYD","2026-03-09"
"Mada-BLKU-0004788","Mada","2026-03-10","AlQurashi-KSA","88015","74004","2914.0","SAR","157-95017321-SMARTSHRYD","2026-03-10"
"Mada-BLKU-0004789","Mada","2026-03-11","AlQurashi-KSA","88015","74004","9505.0","SAR","157-95017321-SMARTSHRYD","2026-03-11"
"Mada-BLKU-0004790","Mada","2026-03-12","AlQurashi-KSA","88015","74004","4664.0","SAR","157-95017321-SMARTSHRYD","2026-03-12"
"Mada-BLKU-0004791","Mada","2026-03-13","AlQurashi-KSA","88015","74004","5035.0","SAR","157-95017321-SMARTSHRYD","2026-03-13"
"Mada-BLKU-0004792","Mada","2026-03-14","AlQurashi-KSA","88015","74004","7444.0","SAR","157-95017321-SMARTSHRYD","2026-03-14"
"Mada-BLKU-0004793","Mada","2026-03-15","AlQurashi-KSA","88015","74004","12015.0","SAR","157-95017321-SMARTSHRYD","2026-03-15"
"Mada-BLKU-0004794","Mada","2026-03-16","AlQurashi-KSA","88015","74004","10383.0","SAR","157-95017321-SMARTSHRYD","2026-03-16"
"Mada-BLKU-0004795","Mada","2026-03-17","AlQurashi-KSA","88015","74004","10959.0","SAR","157-95017321-SMARTSHRYD","2026-03-17"
"Mada-BLKU-0004796","Mada","2026-03-18","AlQurashi-KSA","88015","74004","7731.0","SAR","157-95017321-SMARTSHRYD","2026-03-18"
"Mada-BLKU-0004797","Mada","2026-03-19","AlQurashi-KSA","88015","74004","20519.0","SAR","157-95017321-SMARTSHRYD","2026-03-19"
"Mada-BLKU-0004798","Mada","2026-03-20","AlQurashi-KSA","88015","74004","4330.0","SAR","157-95017321-SMARTSHRYD","2026-03-20"
"Mada-BLKU-0004799","Mada","2026-03-21","AlQurashi-KSA","88015","74004","1917.0","SAR","157-95017321-SMARTSHRYD","2026-03-21"
"Mada-BLKU-0004800","Mada","2026-03-22","AlQurashi-KSA","88015","74004","1353.0","SAR","157-95017321-SMARTSHRYD","2026-03-22"
"Mada-BLKU-0004801","Mada","2026-03-23","AlQurashi-KSA","88015","74004","1468.0","SAR","157-95017321-SMARTSHRYD","2026-03-23"
"Mada-BLKU-0004803","Mada","2026-03-24","AlQurashi-KSA","88015","74004","3267.0","SAR","157-95017321-SMARTSHRYD","2026-03-24"
"Mada-BLKU-0004804","Mada","2026-03-25","AlQurashi-KSA","88015","74004","1349.0","SAR","157-95017321-SMARTSHRYD","2026-03-25"
"Mada-BLKU-0004805","Mada","2026-03-26","AlQurashi-KSA","88015","74004","1997.0","SAR","157-95017321-SMARTSHRYD","2026-03-26"
"Mada-BLKU-0004806","Mada","2026-03-27","AlQurashi-KSA","88015","74004","2806.0","SAR","157-95017321-SMARTSHRYD","2026-03-27"
"Mada-BLKU-0004807","Mada","2026-03-28","AlQurashi-KSA","88015","74004","2459.0","SAR","157-95017321-SMARTSHRYD","2026-03-28"
"Mada-BLKU-0004808","Mada","2026-03-29","AlQurashi-KSA","88015","74004","1598.0","SAR","157-95017321-SMARTSHRYD","2026-03-29"
"Mada-BLKU-0004809","Mada","2026-03-30","AlQurashi-KSA","88015","74004","850.0","SAR","157-95017321-SMARTSHRYD","2026-03-30"
"Mada-BLKU-0004810","Mada","2026-03-31","AlQurashi-KSA","88015","74004","195.0","SAR","157-95017321-SMARTSHRYD","2026-03-31"
