"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"AMEX-BLKU-0001711","AMEX","2026-03-28","AlQurashi-KSA","4011","3011","1288.0","SAR","015795017321029","2026-03-28"
"Cash-PAYMENT-MAKADANPLZ/1683 REFUND","Cash","2026-03-07","AlQurashi-KSA","161012","142003","-104.0","SAR","Cash MAKADANPLZ","2026-03-07"
"Cash-BLKU-0001687","Cash","2026-03-05","AlQurashi-KSA","4011","3011","3409.0","SAR","CashOth Mall Hail","2026-03-05"
"Cash-BLKU-0001688","Cash","2026-03-06","AlQurashi-KSA","4011","3011","4022.0","SAR","CashOth Mall Hail","2026-03-06"
"Cash-BLKU-0001690","Cash","2026-03-07","AlQurashi-KSA","4011","3011","4920.0","SAR","CashOth Mall Hail","2026-03-07"
"Cash-BLKU-0001691","Cash","2026-03-08","AlQurashi-KSA","4011","3011","6574.0","SAR","CashOth Mall Hail","2026-03-08"
"Cash-BLKU-0001692","Cash","2026-03-09","AlQurashi-KSA","4011","3011","5725.0","SAR","CashOth Mall Hail","2026-03-09"
"Cash-BLKU-0001693","Cash","2026-03-10","AlQurashi-KSA","4011","3011","3025.0","SAR","CashOth Mall Hail","2026-03-10"
"Cash-BLKU-0001694","Cash","2026-03-11","AlQurashi-KSA","4011","3011","3215.0","SAR","CashOth Mall Hail","2026-03-11"
"Cash-BLKU-0001695","Cash","2026-03-12","AlQurashi-KSA","4011","3011","5072.0","SAR","CashOth Mall Hail","2026-03-12"
"Cash-BLKU-0001696","Cash","2026-03-13","AlQurashi-KSA","4011","3011","10182.0","SAR","CashOth Mall Hail","2026-03-13"
"Cash-BLKU-0001697","Cash","2026-03-14","AlQurashi-KSA","4011","3011","6874.0","SAR","CashOth Mall Hail","2026-03-14"
"Cash-BLKU-0001698","Cash","2026-03-15","AlQurashi-KSA","4011","3011","6042.0","SAR","CashOth Mall Hail","2026-03-15"
"Cash-BLKU-0001699","Cash","2026-03-16","AlQurashi-KSA","4011","3011","5589.0","SAR","CashOth Mall Hail","2026-03-16"
"Cash-BLKU-0001700","Cash","2026-03-17","AlQurashi-KSA","4011","3011","5169.0","SAR","CashOth Mall Hail","2026-03-17"
"Cash-BLKU-0001701","Cash","2026-03-18","AlQurashi-KSA","4011","3011","5122.0","SAR","CashOth Mall Hail","2026-03-18"
"Cash-BLKU-0001702","Cash","2026-03-19","AlQurashi-KSA","4011","3011","5280.0","SAR","CashOth Mall Hail","2026-03-19"
"Cash-BLKU-0001703","Cash","2026-03-20","AlQurashi-KSA","4011","3011","4285.0","SAR","CashOth Mall Hail","2026-03-20"
"Cash-BLKU-0001704","Cash","2026-03-21","AlQurashi-KSA","4011","3011","1110.0","SAR","CashOth Mall Hail","2026-03-21"
"Cash-BLKU-0001705","Cash","2026-03-22","AlQurashi-KSA","4011","3011","3395.0","SAR","CashOth Mall Hail","2026-03-22"
"Cash-BLKU-0001706","Cash","2026-03-23","AlQurashi-KSA","4011","3011","1176.0","SAR","CashOth Mall Hail","2026-03-23"
"Cash-BLKU-0001707","Cash","2026-03-24","AlQurashi-KSA","4011","3011","1763.0","SAR","CashOth Mall Hail","2026-03-24"
"Cash-BLKU-0001708","Cash","2026-03-25","AlQurashi-KSA","4011","3011","1901.0","SAR","CashOth Mall Hail","2026-03-25"
"Cash-BLKU-0001709","Cash","2026-03-26","AlQurashi-KSA","4011","3011","2393.0","SAR","CashOth Mall Hail","2026-03-26"
"Cash-BLKU-0001710","Cash","2026-03-27","AlQurashi-KSA","4011","3011","6626.0","SAR","CashOth Mall Hail","2026-03-27"
"Cash-BLKU-0001711","Cash","2026-03-28","AlQurashi-KSA","4011","3011","2718.0","SAR","CashOth Mall Hail","2026-03-28"
"Cash-BLKU-0001712","Cash","2026-03-29","AlQurashi-KSA","4011","3011","6407.0","SAR","CashOth Mall Hail","2026-03-29"
"Cash-BLKU-0001713","Cash","2026-03-30","AlQurashi-KSA","4011","3011","1094.0","SAR","CashOth Mall Hail","2026-03-30"
"Cash-BLKU-0001714","Cash","2026-03-31","AlQurashi-KSA","4011","3011","29212.0","SAR","CashOth Mall Hail","2026-03-31"
"Mada-BLKU-0001687","Mada","2026-03-05","AlQurashi-KSA","4011","3011","20767.0","SAR","015795017321029","2026-03-05"
"Mada-BLKU-0001688","Mada","2026-03-06","AlQurashi-KSA","4011","3011","14454.0","SAR","015795017321029","2026-03-06"
"Mada-BLKU-0001690","Mada","2026-03-07","AlQurashi-KSA","4011","3011","16578.0","SAR","015795017321029","2026-03-07"
"Mada-BLKU-0001691","Mada","2026-03-08","AlQurashi-KSA","4011","3011","15681.0","SAR","015795017321029","2026-03-08"
"Mada-BLKU-0001692","Mada","2026-03-09","AlQurashi-KSA","4011","3011","14500.0","SAR","015795017321029","2026-03-09"
"Mada-BLKU-0001693","Mada","2026-03-10","AlQurashi-KSA","4011","3011","16715.0","SAR","015795017321029","2026-03-10"
"Mada-BLKU-0001694","Mada","2026-03-11","AlQurashi-KSA","4011","3011","15337.0","SAR","015795017321029","2026-03-11"
"Mada-BLKU-0001695","Mada","2026-03-12","AlQurashi-KSA","4011","3011","21020.0","SAR","015795017321029","2026-03-12"
"Mada-BLKU-0001696","Mada","2026-03-13","AlQurashi-KSA","4011","3011","15162.0","SAR","015795017321029","2026-03-13"
"Mada-BLKU-0001697","Mada","2026-03-14","AlQurashi-KSA","4011","3011","20206.0","SAR","015795017321029","2026-03-14"
"Mada-BLKU-0001698","Mada","2026-03-15","AlQurashi-KSA","4011","3011","17462.0","SAR","015795017321029","2026-03-15"
"Mada-BLKU-0001699","Mada","2026-03-16","AlQurashi-KSA","4011","3011","14730.0","SAR","015795017321029","2026-03-16"
"Mada-BLKU-0001700","Mada","2026-03-17","AlQurashi-KSA","4011","3011","18857.0","SAR","015795017321029","2026-03-17"
"Mada-BLKU-0001701","Mada","2026-03-18","AlQurashi-KSA","4011","3011","16521.0","SAR","015795017321029","2026-03-18"
"Mada-BLKU-0001702","Mada","2026-03-19","AlQurashi-KSA","4011","3011","21003.0","SAR","015795017321029","2026-03-19"
"Mada-BLKU-0001703","Mada","2026-03-20","AlQurashi-KSA","4011","3011","9355.0","SAR","015795017321029","2026-03-20"
"Mada-BLKU-0001704","Mada","2026-03-21","AlQurashi-KSA","4011","3011","3344.0","SAR","015795017321029","2026-03-21"
"Mada-BLKU-0001705","Mada","2026-03-22","AlQurashi-KSA","4011","3011","4086.0","SAR","015795017321029","2026-03-22"
"Mada-BLKU-0001706","Mada","2026-03-23","AlQurashi-KSA","4011","3011","5785.0","SAR","015795017321029","2026-03-23"
"Mada-BLKU-0001707","Mada","2026-03-24","AlQurashi-KSA","4011","3011","6772.0","SAR","015795017321029","2026-03-24"
"Mada-BLKU-0001708","Mada","2026-03-25","AlQurashi-KSA","4011","3011","5782.0","SAR","015795017321029","2026-03-25"
"Mada-BLKU-0001709","Mada","2026-03-26","AlQurashi-KSA","4011","3011","7243.0","SAR","015795017321029","2026-03-26"
"Mada-BLKU-0001710","Mada","2026-03-27","AlQurashi-KSA","4011","3011","6913.0","SAR","015795017321029","2026-03-27"
"Mada-BLKU-0001711","Mada","2026-03-28","AlQurashi-KSA","4011","3011","5396.0","SAR","015795017321029","2026-03-28"
"Mada-BLKU-0001712","Mada","2026-03-29","AlQurashi-KSA","4011","3011","3129.0","SAR","015795017321029","2026-03-29"
"Mada-BLKU-0001713","Mada","2026-03-30","AlQurashi-KSA","4011","3011","4306.0","SAR","015795017321029","2026-03-30"
"Mada-BLKU-0001714","Mada","2026-03-31","AlQurashi-KSA","4011","3011","9433.0","SAR","015795017321029","2026-03-31"
"Master-BLKU-0001687","Master","2026-03-05","AlQurashi-KSA","4011","3011","835.0","SAR","015795017321029","2026-03-05"
"Master-BLKU-0001688","Master","2026-03-06","AlQurashi-KSA","4011","3011","697.0","SAR","015795017321029","2026-03-06"
"Master-BLKU-0001690","Master","2026-03-07","AlQurashi-KSA","4011","3011","473.0","SAR","015795017321029","2026-03-07"
"Master-BLKU-0001691","Master","2026-03-08","AlQurashi-KSA","4011","3011","797.0","SAR","015795017321029","2026-03-08"
"Master-BLKU-0001692","Master","2026-03-09","AlQurashi-KSA","4011","3011","279.0","SAR","015795017321029","2026-03-09"
"Master-BLKU-0001693","Master","2026-03-10","AlQurashi-KSA","4011","3011","375.0","SAR","015795017321029","2026-03-10"
"Master-BLKU-0001694","Master","2026-03-11","AlQurashi-KSA","4011","3011","126.0","SAR","015795017321029","2026-03-11"
"Master-BLKU-0001696","Master","2026-03-13","AlQurashi-KSA","4011","3011","2001.0","SAR","015795017321029","2026-03-13"
"Master-BLKU-0001699","Master","2026-03-16","AlQurashi-KSA","4011","3011","349.0","SAR","015795017321029","2026-03-16"
"Master-BLKU-0001700","Master","2026-03-17","AlQurashi-KSA","4011","3011","1211.0","SAR","015795017321029","2026-03-17"
"Master-BLKU-0001701","Master","2026-03-18","AlQurashi-KSA","4011","3011","821.0","SAR","015795017321029","2026-03-18"
"Master-BLKU-0001702","Master","2026-03-19","AlQurashi-KSA","4011","3011","897.0","SAR","015795017321029","2026-03-19"
"Master-BLKU-0001703","Master","2026-03-20","AlQurashi-KSA","4011","3011","798.0","SAR","015795017321029","2026-03-20"
"Master-BLKU-0001704","Master","2026-03-21","AlQurashi-KSA","4011","3011","398.0","SAR","015795017321029","2026-03-21"
"Master-BLKU-0001705","Master","2026-03-22","AlQurashi-KSA","4011","3011","419.0","SAR","015795017321029","2026-03-22"
"Master-BLKU-0001706","Master","2026-03-23","AlQurashi-KSA","4011","3011","299.0","SAR","015795017321029","2026-03-23"
"Master-BLKU-0001707","Master","2026-03-24","AlQurashi-KSA","4011","3011","199.0","SAR","015795017321029","2026-03-24"
"Master-BLKU-0001709","Master","2026-03-26","AlQurashi-KSA","4011","3011","199.0","SAR","015795017321029","2026-03-26"
"Master-BLKU-0001714","Master","2026-03-31","AlQurashi-KSA","4011","3011","474.0","SAR","015795017321029","2026-03-31"
"Visa-BLKU-0001687","Visa","2026-03-05","AlQurashi-KSA","4011","3011","2040.0","SAR","015795017321029","2026-03-05"
"Visa-BLKU-0001688","Visa","2026-03-06","AlQurashi-KSA","4011","3011","3172.0","SAR","015795017321029","2026-03-06"
"Visa-BLKU-0001690","Visa","2026-03-07","AlQurashi-KSA","4011","3011","6402.0","SAR","015795017321029","2026-03-07"
"Visa-BLKU-0001691","Visa","2026-03-08","AlQurashi-KSA","4011","3011","2570.0","SAR","015795017321029","2026-03-08"
"Visa-BLKU-0001692","Visa","2026-03-09","AlQurashi-KSA","4011","3011","2144.0","SAR","015795017321029","2026-03-09"
"Visa-BLKU-0001693","Visa","2026-03-10","AlQurashi-KSA","4011","3011","3557.0","SAR","015795017321029","2026-03-10"
"Visa-BLKU-0001694","Visa","2026-03-11","AlQurashi-KSA","4011","3011","2286.0","SAR","015795017321029","2026-03-11"
"Visa-BLKU-0001695","Visa","2026-03-12","AlQurashi-KSA","4011","3011","1688.0","SAR","015795017321029","2026-03-12"
"Visa-BLKU-0001696","Visa","2026-03-13","AlQurashi-KSA","4011","3011","3923.0","SAR","015795017321029","2026-03-13"
"Visa-BLKU-0001697","Visa","2026-03-14","AlQurashi-KSA","4011","3011","2990.0","SAR","015795017321029","2026-03-14"
