"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0001687","Visa","2026-03-05","AlQurashi-KSA","4011","3011","2040.0","SAR","015795017321029","2026-03-05"
"Visa-BLKU-0001688","Visa","2026-03-06","AlQurashi-KSA","4011","3011","3172.0","SAR","015795017321029","2026-03-06"
"Visa-BLKU-0001690","Visa","2026-03-07","AlQurashi-KSA","4011","3011","6402.0","SAR","015795017321029","2026-03-07"
"Visa-BLKU-0001691","Visa","2026-03-08","AlQurashi-KSA","4011","3011","2570.0","SAR","015795017321029","2026-03-08"
"Visa-BLKU-0001692","Visa","2026-03-09","AlQurashi-KSA","4011","3011","2144.0","SAR","015795017321029","2026-03-09"
"Visa-BLKU-0001693","Visa","2026-03-10","AlQurashi-KSA","4011","3011","3557.0","SAR","015795017321029","2026-03-10"
"Visa-BLKU-0001694","Visa","2026-03-11","AlQurashi-KSA","4011","3011","2286.0","SAR","015795017321029","2026-03-11"
"Visa-BLKU-0001695","Visa","2026-03-12","AlQurashi-KSA","4011","3011","1688.0","SAR","015795017321029","2026-03-12"
"Visa-BLKU-0001696","Visa","2026-03-13","AlQurashi-KSA","4011","3011","3923.0","SAR","015795017321029","2026-03-13"
"Visa-BLKU-0001697","Visa","2026-03-14","AlQurashi-KSA","4011","3011","2990.0","SAR","015795017321029","2026-03-14"
"Visa-BLKU-0001698","Visa","2026-03-15","AlQurashi-KSA","4011","3011","2339.0","SAR","015795017321029","2026-03-15"
"Visa-BLKU-0001699","Visa","2026-03-16","AlQurashi-KSA","4011","3011","682.0","SAR","015795017321029","2026-03-16"
"Visa-BLKU-0001700","Visa","2026-03-17","AlQurashi-KSA","4011","3011","2289.0","SAR","015795017321029","2026-03-17"
"Visa-BLKU-0001701","Visa","2026-03-18","AlQurashi-KSA","4011","3011","2162.0","SAR","015795017321029","2026-03-18"
"Visa-BLKU-0001702","Visa","2026-03-19","AlQurashi-KSA","4011","3011","4476.0","SAR","015795017321029","2026-03-19"
"Visa-BLKU-0001703","Visa","2026-03-20","AlQurashi-KSA","4011","3011","3261.0","SAR","015795017321029","2026-03-20"
"Visa-BLKU-0001704","Visa","2026-03-21","AlQurashi-KSA","4011","3011","1274.0","SAR","015795017321029","2026-03-21"
"Visa-BLKU-0001705","Visa","2026-03-22","AlQurashi-KSA","4011","3011","2042.0","SAR","015795017321029","2026-03-22"
"Visa-BLKU-0001706","Visa","2026-03-23","AlQurashi-KSA","4011","3011","681.0","SAR","015795017321029","2026-03-23"
"Visa-BLKU-0001708","Visa","2026-03-25","AlQurashi-KSA","4011","3011","738.0","SAR","015795017321029","2026-03-25"
"Visa-BLKU-0001709","Visa","2026-03-26","AlQurashi-KSA","4011","3011","1741.0","SAR","015795017321029","2026-03-26"
"Visa-BLKU-0001710","Visa","2026-03-27","AlQurashi-KSA","4011","3011","2129.0","SAR","015795017321029","2026-03-27"
"Visa-BLKU-0001711","Visa","2026-03-28","AlQurashi-KSA","4011","3011","1506.0","SAR","015795017321029","2026-03-28"
"Visa-BLKU-0001712","Visa","2026-03-29","AlQurashi-KSA","4011","3011","1268.0","SAR","015795017321029","2026-03-29"
"Visa-BLKU-0001713","Visa","2026-03-30","AlQurashi-KSA","4011","3011","379.0","SAR","015795017321029","2026-03-30"
"Visa-BLKU-0001714","Visa","2026-03-31","AlQurashi-KSA","4011","3011","911.0","SAR","015795017321029","2026-03-31"
