"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0001736","Master","2026-03-05","AlQurashi-KSA","87014","73009","210.0","SAR","0157-95017321-000","2026-03-05"
"Master-BLKU-0001737","Master","2026-03-06","AlQurashi-KSA","87014","73009","2258.0","SAR","0157-95017321-000","2026-03-06"
"Master-BLKU-0001738","Master","2026-03-07","AlQurashi-KSA","87014","73009","257.0","SAR","0157-95017321-000","2026-03-07"
"Master-BLKU-0001740","Master","2026-03-09","AlQurashi-KSA","87014","73009","984.0","SAR","0157-95017321-000","2026-03-09"
"Master-BLKU-0001741","Master","2026-03-10","AlQurashi-KSA","87014","73009","517.0","SAR","0157-95017321-000","2026-03-10"
"Master-BLKU-0001742","Master","2026-03-11","AlQurashi-KSA","87014","73009","2091.0","SAR","0157-95017321-000","2026-03-11"
"Master-BLKU-0001743","Master","2026-03-12","AlQurashi-KSA","87014","73009","2517.0","SAR","0157-95017321-000","2026-03-12"
"Master-BLKU-0001744","Master","2026-03-13","AlQurashi-KSA","87014","73009","298.0","SAR","0157-95017321-000","2026-03-13"
"Master-BLKU-0001745","Master","2026-03-14","AlQurashi-KSA","87014","73009","1528.0","SAR","0157-95017321-000","2026-03-14"
"Master-BLKU-0001746","Master","2026-03-15","AlQurashi-KSA","87014","73009","1282.0","SAR","0157-95017321-000","2026-03-15"
"Master-BLKU-0001747","Master","2026-03-16","AlQurashi-KSA","87014","73009","707.0","SAR","0157-95017321-000","2026-03-16"
"Master-BLKU-0001748","Master","2026-03-17","AlQurashi-KSA","87014","73009","1826.0","SAR","0157-95017321-000","2026-03-17"
"Master-BLKU-0001749","Master","2026-03-18","AlQurashi-KSA","87014","73009","3876.0","SAR","0157-95017321-000","2026-03-18"
"Master-BLKU-0001750","Master","2026-03-19","AlQurashi-KSA","87014","73009","1861.0","SAR","0157-95017321-000","2026-03-19"
"Master-BLKU-0001751","Master","2026-03-20","AlQurashi-KSA","87014","73009","850.0","SAR","0157-95017321-000","2026-03-20"
"Master-BLKU-0001752","Master","2026-03-21","AlQurashi-KSA","87014","73009","647.0","SAR","0157-95017321-000","2026-03-21"
"Master-BLKU-0001753","Master","2026-03-22","AlQurashi-KSA","87014","73009","549.0","SAR","0157-95017321-000","2026-03-22"
"Master-BLKU-0001754","Master","2026-03-23","AlQurashi-KSA","87014","73009","160.0","SAR","0157-95017321-000","2026-03-23"
"Master-BLKU-0001755","Master","2026-03-24","AlQurashi-KSA","87014","73009","210.0","SAR","0157-95017321-000","2026-03-24"
"Master-BLKU-0001757","Master","2026-03-26","AlQurashi-KSA","87014","73009","469.0","SAR","0157-95017321-000","2026-03-26"
"Master-BLKU-0001759","Master","2026-03-28","AlQurashi-KSA","87014","73009","712.0","SAR","0157-95017321-000","2026-03-28"
"Master-BLKU-0001760","Master","2026-03-29","AlQurashi-KSA","87014","73009","448.0","SAR","0157-95017321-000","2026-03-29"
"Master-BLKU-0001761","Master","2026-03-30","AlQurashi-KSA","87014","73009","784.0","SAR","0157-95017321-000","2026-03-30"
