"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0001736","Cash","2026-03-05","AlQurashi-KSA","87014","73009","3299.0","SAR","Cash TAIFSHARST","2026-03-05"
"Cash-BLKU-0001737","Cash","2026-03-06","AlQurashi-KSA","87014","73009","4368.0","SAR","Cash TAIFSHARST","2026-03-06"
"Cash-BLKU-0001738","Cash","2026-03-07","AlQurashi-KSA","87014","73009","3860.0","SAR","Cash TAIFSHARST","2026-03-07"
"Cash-BLKU-0001739","Cash","2026-03-08","AlQurashi-KSA","87014","73009","3469.0","SAR","Cash TAIFSHARST","2026-03-08"
"Cash-BLKU-0001740","Cash","2026-03-09","AlQurashi-KSA","87014","73009","5083.0","SAR","Cash TAIFSHARST","2026-03-09"
"Cash-BLKU-0001741","Cash","2026-03-10","AlQurashi-KSA","87014","73009","4204.0","SAR","Cash TAIFSHARST","2026-03-10"
"Cash-BLKU-0001742","Cash","2026-03-11","AlQurashi-KSA","87014","73009","3124.0","SAR","Cash TAIFSHARST","2026-03-11"
"Cash-BLKU-0001743","Cash","2026-03-12","AlQurashi-KSA","87014","73009","4484.0","SAR","Cash TAIFSHARST","2026-03-12"
"Cash-BLKU-0001744","Cash","2026-03-13","AlQurashi-KSA","87014","73009","5304.0","SAR","Cash TAIFSHARST","2026-03-13"
"Cash-BLKU-0001745","Cash","2026-03-14","AlQurashi-KSA","87014","73009","6548.0","SAR","Cash TAIFSHARST","2026-03-14"
"Cash-BLKU-0001746","Cash","2026-03-15","AlQurashi-KSA","87014","73009","4700.0","SAR","Cash TAIFSHARST","2026-03-15"
"Cash-BLKU-0001747","Cash","2026-03-16","AlQurashi-KSA","87014","73009","6889.0","SAR","Cash TAIFSHARST","2026-03-16"
"Cash-BLKU-0001748","Cash","2026-03-17","AlQurashi-KSA","87014","73009","6400.0","SAR","Cash TAIFSHARST","2026-03-17"
"Cash-BLKU-0001749","Cash","2026-03-18","AlQurashi-KSA","87014","73009","7546.0","SAR","Cash TAIFSHARST","2026-03-18"
"Cash-BLKU-0001750","Cash","2026-03-19","AlQurashi-KSA","87014","73009","10361.0","SAR","Cash TAIFSHARST","2026-03-19"
"Cash-BLKU-0001751","Cash","2026-03-20","AlQurashi-KSA","87014","73009","5646.0","SAR","Cash TAIFSHARST","2026-03-20"
"Cash-BLKU-0001752","Cash","2026-03-21","AlQurashi-KSA","87014","73009","2517.0","SAR","Cash TAIFSHARST","2026-03-21"
"Cash-BLKU-0001753","Cash","2026-03-22","AlQurashi-KSA","87014","73009","2684.0","SAR","Cash TAIFSHARST","2026-03-22"
"Cash-BLKU-0001754","Cash","2026-03-23","AlQurashi-KSA","87014","73009","2069.0","SAR","Cash TAIFSHARST","2026-03-23"
"Cash-BLKU-0001755","Cash","2026-03-24","AlQurashi-KSA","87014","73009","2305.0","SAR","Cash TAIFSHARST","2026-03-24"
"Cash-BLKU-0001756","Cash","2026-03-25","AlQurashi-KSA","87014","73009","1988.0","SAR","Cash TAIFSHARST","2026-03-25"
"Cash-BLKU-0001757","Cash","2026-03-26","AlQurashi-KSA","87014","73009","1386.0","SAR","Cash TAIFSHARST","2026-03-26"
"Cash-BLKU-0001758","Cash","2026-03-27","AlQurashi-KSA","87014","73009","1194.0","SAR","Cash TAIFSHARST","2026-03-27"
"Cash-BLKU-0001759","Cash","2026-03-28","AlQurashi-KSA","87014","73009","1941.0","SAR","Cash TAIFSHARST","2026-03-28"
"Cash-BLKU-0001760","Cash","2026-03-29","AlQurashi-KSA","87014","73009","1188.0","SAR","Cash TAIFSHARST","2026-03-29"
"Cash-BLKU-0001761","Cash","2026-03-30","AlQurashi-KSA","87014","73009","5073.0","SAR","Cash TAIFSHARST","2026-03-30"
"Cash-BLKU-0001762","Cash","2026-03-31","AlQurashi-KSA","87014","73009","1888.0","SAR","Cash TAIFSHARST","2026-03-31"
"Mada-BLKU-0001736","Mada","2026-03-05","AlQurashi-KSA","87014","73009","9633.0","SAR","0157-95017321-000","2026-03-05"
"Mada-BLKU-0001737","Mada","2026-03-06","AlQurashi-KSA","87014","73009","11976.0","SAR","0157-95017321-000","2026-03-06"
"Mada-BLKU-0001738","Mada","2026-03-07","AlQurashi-KSA","87014","73009","15716.0","SAR","0157-95017321-000","2026-03-07"
"Mada-BLKU-0001739","Mada","2026-03-08","AlQurashi-KSA","87014","73009","9147.0","SAR","0157-95017321-000","2026-03-08"
"Mada-BLKU-0001740","Mada","2026-03-09","AlQurashi-KSA","87014","73009","13489.0","SAR","0157-95017321-000","2026-03-09"
"Mada-BLKU-0001741","Mada","2026-03-10","AlQurashi-KSA","87014","73009","17524.0","SAR","0157-95017321-000","2026-03-10"
"Mada-BLKU-0001742","Mada","2026-03-11","AlQurashi-KSA","87014","73009","18182.0","SAR","0157-95017321-000","2026-03-11"
"Mada-BLKU-0001743","Mada","2026-03-12","AlQurashi-KSA","87014","73009","12849.0","SAR","0157-95017321-000","2026-03-12"
"Mada-BLKU-0001744","Mada","2026-03-13","AlQurashi-KSA","87014","73009","17932.0","SAR","0157-95017321-000","2026-03-13"
"Mada-BLKU-0001745","Mada","2026-03-14","AlQurashi-KSA","87014","73009","14993.0","SAR","0157-95017321-000","2026-03-14"
"Mada-BLKU-0001746","Mada","2026-03-15","AlQurashi-KSA","87014","73009","12617.0","SAR","0157-95017321-000","2026-03-15"
"Mada-BLKU-0001747","Mada","2026-03-16","AlQurashi-KSA","87014","73009","26111.0","SAR","0157-95017321-000","2026-03-16"
"Mada-BLKU-0001748","Mada","2026-03-17","AlQurashi-KSA","87014","73009","25228.0","SAR","0157-95017321-000","2026-03-17"
"Mada-BLKU-0001749","Mada","2026-03-18","AlQurashi-KSA","87014","73009","33300.0","SAR","0157-95017321-000","2026-03-18"
"Mada-BLKU-0001750","Mada","2026-03-19","AlQurashi-KSA","87014","73009","32938.0","SAR","0157-95017321-000","2026-03-19"
"Mada-BLKU-0001751","Mada","2026-03-20","AlQurashi-KSA","87014","73009","17758.0","SAR","0157-95017321-000","2026-03-20"
"Mada-BLKU-0001752","Mada","2026-03-21","AlQurashi-KSA","87014","73009","4193.0","SAR","0157-95017321-000","2026-03-21"
"Mada-BLKU-0001753","Mada","2026-03-22","AlQurashi-KSA","87014","73009","3960.0","SAR","0157-95017321-000","2026-03-22"
"Mada-BLKU-0001754","Mada","2026-03-23","AlQurashi-KSA","87014","73009","7567.0","SAR","0157-95017321-000","2026-03-23"
"Mada-BLKU-0001755","Mada","2026-03-24","AlQurashi-KSA","87014","73009","4744.0","SAR","0157-95017321-000","2026-03-24"
"Mada-BLKU-0001756","Mada","2026-03-25","AlQurashi-KSA","87014","73009","3619.0","SAR","0157-95017321-000","2026-03-25"
"Mada-BLKU-0001757","Mada","2026-03-26","AlQurashi-KSA","87014","73009","7245.0","SAR","0157-95017321-000","2026-03-26"
"Mada-BLKU-0001758","Mada","2026-03-27","AlQurashi-KSA","87014","73009","5038.0","SAR","0157-95017321-000","2026-03-27"
"Mada-BLKU-0001759","Mada","2026-03-28","AlQurashi-KSA","87014","73009","8702.0","SAR","0157-95017321-000","2026-03-28"
"Mada-BLKU-0001760","Mada","2026-03-29","AlQurashi-KSA","87014","73009","5071.0","SAR","0157-95017321-000","2026-03-29"
"Mada-BLKU-0001761","Mada","2026-03-30","AlQurashi-KSA","87014","73009","5008.0","SAR","0157-95017321-000","2026-03-30"
"Mada-BLKU-0001762","Mada","2026-03-31","AlQurashi-KSA","87014","73009","4344.0","SAR","0157-95017321-000","2026-03-31"
"Master-BLKU-0001736","Master","2026-03-05","AlQurashi-KSA","87014","73009","210.0","SAR","0157-95017321-000","2026-03-05"
"Master-BLKU-0001737","Master","2026-03-06","AlQurashi-KSA","87014","73009","2258.0","SAR","0157-95017321-000","2026-03-06"
"Master-BLKU-0001738","Master","2026-03-07","AlQurashi-KSA","87014","73009","257.0","SAR","0157-95017321-000","2026-03-07"
"Master-BLKU-0001740","Master","2026-03-09","AlQurashi-KSA","87014","73009","984.0","SAR","0157-95017321-000","2026-03-09"
"Master-BLKU-0001741","Master","2026-03-10","AlQurashi-KSA","87014","73009","517.0","SAR","0157-95017321-000","2026-03-10"
"Master-BLKU-0001742","Master","2026-03-11","AlQurashi-KSA","87014","73009","2091.0","SAR","0157-95017321-000","2026-03-11"
"Master-BLKU-0001743","Master","2026-03-12","AlQurashi-KSA","87014","73009","2517.0","SAR","0157-95017321-000","2026-03-12"
"Master-BLKU-0001744","Master","2026-03-13","AlQurashi-KSA","87014","73009","298.0","SAR","0157-95017321-000","2026-03-13"
"Master-BLKU-0001745","Master","2026-03-14","AlQurashi-KSA","87014","73009","1528.0","SAR","0157-95017321-000","2026-03-14"
"Master-BLKU-0001746","Master","2026-03-15","AlQurashi-KSA","87014","73009","1282.0","SAR","0157-95017321-000","2026-03-15"
"Master-BLKU-0001747","Master","2026-03-16","AlQurashi-KSA","87014","73009","707.0","SAR","0157-95017321-000","2026-03-16"
"Master-BLKU-0001748","Master","2026-03-17","AlQurashi-KSA","87014","73009","1826.0","SAR","0157-95017321-000","2026-03-17"
"Master-BLKU-0001749","Master","2026-03-18","AlQurashi-KSA","87014","73009","3876.0","SAR","0157-95017321-000","2026-03-18"
"Master-BLKU-0001750","Master","2026-03-19","AlQurashi-KSA","87014","73009","1861.0","SAR","0157-95017321-000","2026-03-19"
"Master-BLKU-0001751","Master","2026-03-20","AlQurashi-KSA","87014","73009","850.0","SAR","0157-95017321-000","2026-03-20"
"Master-BLKU-0001752","Master","2026-03-21","AlQurashi-KSA","87014","73009","647.0","SAR","0157-95017321-000","2026-03-21"
"Master-BLKU-0001753","Master","2026-03-22","AlQurashi-KSA","87014","73009","549.0","SAR","0157-95017321-000","2026-03-22"
"Master-BLKU-0001754","Master","2026-03-23","AlQurashi-KSA","87014","73009","160.0","SAR","0157-95017321-000","2026-03-23"
"Master-BLKU-0001755","Master","2026-03-24","AlQurashi-KSA","87014","73009","210.0","SAR","0157-95017321-000","2026-03-24"
"Master-BLKU-0001757","Master","2026-03-26","AlQurashi-KSA","87014","73009","469.0","SAR","0157-95017321-000","2026-03-26"
"Master-BLKU-0001759","Master","2026-03-28","AlQurashi-KSA","87014","73009","712.0","SAR","0157-95017321-000","2026-03-28"
"Master-BLKU-0001760","Master","2026-03-29","AlQurashi-KSA","87014","73009","448.0","SAR","0157-95017321-000","2026-03-29"
"Master-BLKU-0001761","Master","2026-03-30","AlQurashi-KSA","87014","73009","784.0","SAR","0157-95017321-000","2026-03-30"
"Visa-BLKU-0001736","Visa","2026-03-05","AlQurashi-KSA","87014","73009","2199.0","SAR","0157-95017321-000","2026-03-05"
"Visa-BLKU-0001737","Visa","2026-03-06","AlQurashi-KSA","87014","73009","1081.0","SAR","0157-95017321-000","2026-03-06"
"Visa-BLKU-0001738","Visa","2026-03-07","AlQurashi-KSA","87014","73009","1181.0","SAR","0157-95017321-000","2026-03-07"
"Visa-BLKU-0001739","Visa","2026-03-08","AlQurashi-KSA","87014","73009","884.0","SAR","0157-95017321-000","2026-03-08"
"Visa-BLKU-0001740","Visa","2026-03-09","AlQurashi-KSA","87014","73009","2168.0","SAR","0157-95017321-000","2026-03-09"
"Visa-BLKU-0001741","Visa","2026-03-10","AlQurashi-KSA","87014","73009","515.0","SAR","0157-95017321-000","2026-03-10"
"Visa-BLKU-0001742","Visa","2026-03-11","AlQurashi-KSA","87014","73009","2327.0","SAR","0157-95017321-000","2026-03-11"
"Visa-BLKU-0001743","Visa","2026-03-12","AlQurashi-KSA","87014","73009","1574.0","SAR","0157-95017321-000","2026-03-12"
"Visa-BLKU-0001744","Visa","2026-03-13","AlQurashi-KSA","87014","73009","4492.0","SAR","0157-95017321-000","2026-03-13"
"Visa-BLKU-0001745","Visa","2026-03-14","AlQurashi-KSA","87014","73009","2678.0","SAR","0157-95017321-000","2026-03-14"
"Visa-BLKU-0001746","Visa","2026-03-15","AlQurashi-KSA","87014","73009","2092.0","SAR","0157-95017321-000","2026-03-15"
"Visa-BLKU-0001747","Visa","2026-03-16","AlQurashi-KSA","87014","73009","2490.0","SAR","0157-95017321-000","2026-03-16"
