"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0001736","Visa","2026-03-05","AlQurashi-KSA","87014","73009","2199.0","SAR","0157-95017321-000","2026-03-05"
"Visa-BLKU-0001737","Visa","2026-03-06","AlQurashi-KSA","87014","73009","1081.0","SAR","0157-95017321-000","2026-03-06"
"Visa-BLKU-0001738","Visa","2026-03-07","AlQurashi-KSA","87014","73009","1181.0","SAR","0157-95017321-000","2026-03-07"
"Visa-BLKU-0001739","Visa","2026-03-08","AlQurashi-KSA","87014","73009","884.0","SAR","0157-95017321-000","2026-03-08"
"Visa-BLKU-0001740","Visa","2026-03-09","AlQurashi-KSA","87014","73009","2168.0","SAR","0157-95017321-000","2026-03-09"
"Visa-BLKU-0001741","Visa","2026-03-10","AlQurashi-KSA","87014","73009","515.0","SAR","0157-95017321-000","2026-03-10"
"Visa-BLKU-0001742","Visa","2026-03-11","AlQurashi-KSA","87014","73009","2327.0","SAR","0157-95017321-000","2026-03-11"
"Visa-BLKU-0001743","Visa","2026-03-12","AlQurashi-KSA","87014","73009","1574.0","SAR","0157-95017321-000","2026-03-12"
"Visa-BLKU-0001744","Visa","2026-03-13","AlQurashi-KSA","87014","73009","4492.0","SAR","0157-95017321-000","2026-03-13"
"Visa-BLKU-0001745","Visa","2026-03-14","AlQurashi-KSA","87014","73009","2678.0","SAR","0157-95017321-000","2026-03-14"
"Visa-BLKU-0001746","Visa","2026-03-15","AlQurashi-KSA","87014","73009","2092.0","SAR","0157-95017321-000","2026-03-15"
"Visa-BLKU-0001747","Visa","2026-03-16","AlQurashi-KSA","87014","73009","2490.0","SAR","0157-95017321-000","2026-03-16"
"Visa-BLKU-0001748","Visa","2026-03-17","AlQurashi-KSA","87014","73009","5478.0","SAR","0157-95017321-000","2026-03-17"
"Visa-BLKU-0001749","Visa","2026-03-18","AlQurashi-KSA","87014","73009","6366.0","SAR","0157-95017321-000","2026-03-18"
"Visa-BLKU-0001750","Visa","2026-03-19","AlQurashi-KSA","87014","73009","5934.0","SAR","0157-95017321-000","2026-03-19"
"Visa-BLKU-0001751","Visa","2026-03-20","AlQurashi-KSA","87014","73009","1603.0","SAR","0157-95017321-000","2026-03-20"
"Visa-BLKU-0001752","Visa","2026-03-21","AlQurashi-KSA","87014","73009","1273.0","SAR","0157-95017321-000","2026-03-21"
"Visa-BLKU-0001753","Visa","2026-03-22","AlQurashi-KSA","87014","73009","2047.0","SAR","0157-95017321-000","2026-03-22"
"Visa-BLKU-0001754","Visa","2026-03-23","AlQurashi-KSA","87014","73009","674.0","SAR","0157-95017321-000","2026-03-23"
"Visa-BLKU-0001755","Visa","2026-03-24","AlQurashi-KSA","87014","73009","1020.0","SAR","0157-95017321-000","2026-03-24"
"Visa-BLKU-0001756","Visa","2026-03-25","AlQurashi-KSA","87014","73009","284.0","SAR","0157-95017321-000","2026-03-25"
"Visa-BLKU-0001757","Visa","2026-03-26","AlQurashi-KSA","87014","73009","952.0","SAR","0157-95017321-000","2026-03-26"
"Visa-BLKU-0001758","Visa","2026-03-27","AlQurashi-KSA","87014","73009","1148.0","SAR","0157-95017321-000","2026-03-27"
"Visa-BLKU-0001759","Visa","2026-03-28","AlQurashi-KSA","87014","73009","408.0","SAR","0157-95017321-000","2026-03-28"
"Visa-BLKU-0001760","Visa","2026-03-29","AlQurashi-KSA","87014","73009","964.0","SAR","0157-95017321-000","2026-03-29"
"Visa-BLKU-0001761","Visa","2026-03-30","AlQurashi-KSA","87014","73009","672.0","SAR","0157-95017321-000","2026-03-30"
