"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0007640","Mada","2026-03-05","AlQurashi-KSA","145021","129068","4463.0","SAR","015795017321-TAIFTERAML","2026-03-05"
"Mada-BLKU-0007641","Mada","2026-03-06","AlQurashi-KSA","145021","129068","6383.0","SAR","015795017321-TAIFTERAML","2026-03-06"
"Mada-BLKU-0007642","Mada","2026-03-07","AlQurashi-KSA","145021","129068","6924.0","SAR","015795017321-TAIFTERAML","2026-03-07"
"Mada-BLKU-0007643","Mada","2026-03-08","AlQurashi-KSA","145021","129068","5454.0","SAR","015795017321-TAIFTERAML","2026-03-08"
"Mada-BLKU-0007644","Mada","2026-03-09","AlQurashi-KSA","145021","129068","10450.0","SAR","015795017321-TAIFTERAML","2026-03-09"
"Mada-BLKU-0007645","Mada","2026-03-10","AlQurashi-KSA","145021","129068","7886.0","SAR","015795017321-TAIFTERAML","2026-03-10"
"Mada-BLKU-0007646","Mada","2026-03-11","AlQurashi-KSA","145021","129068","10518.0","SAR","015795017321-TAIFTERAML","2026-03-11"
"Mada-BLKU-0007647","Mada","2026-03-12","AlQurashi-KSA","145021","129068","6704.0","SAR","015795017321-TAIFTERAML","2026-03-12"
"Mada-BLKU-0007648","Mada","2026-03-13","AlQurashi-KSA","145021","129068","10515.0","SAR","015795017321-TAIFTERAML","2026-03-13"
"Mada-BLKU-0007649","Mada","2026-03-14","AlQurashi-KSA","145021","129068","9560.0","SAR","015795017321-TAIFTERAML","2026-03-14"
"Mada-BLKU-0007650","Mada","2026-03-15","AlQurashi-KSA","145021","129068","8658.0","SAR","015795017321-TAIFTERAML","2026-03-15"
"Mada-BLKU-0007651","Mada","2026-03-16","AlQurashi-KSA","145021","129068","12389.0","SAR","015795017321-TAIFTERAML","2026-03-16"
"Mada-BLKU-0007652","Mada","2026-03-17","AlQurashi-KSA","145021","129068","13940.0","SAR","015795017321-TAIFTERAML","2026-03-17"
"Mada-BLKU-0007653","Mada","2026-03-18","AlQurashi-KSA","145021","129068","17228.0","SAR","015795017321-TAIFTERAML","2026-03-18"
"Mada-BLKU-0007654","Mada","2026-03-19","AlQurashi-KSA","145021","129068","15519.0","SAR","015795017321-TAIFTERAML","2026-03-19"
"Mada-BLKU-0007655","Mada","2026-03-20","AlQurashi-KSA","145021","129068","6249.0","SAR","015795017321-TAIFTERAML","2026-03-20"
"Mada-BLKU-0007656","Mada","2026-03-21","AlQurashi-KSA","145021","129068","1032.0","SAR","015795017321-TAIFTERAML","2026-03-21"
"Mada-BLKU-0007657","Mada","2026-03-22","AlQurashi-KSA","145021","129068","5675.0","SAR","015795017321-TAIFTERAML","2026-03-22"
"Mada-BLKU-0007658","Mada","2026-03-23","AlQurashi-KSA","145021","129068","2758.0","SAR","015795017321-TAIFTERAML","2026-03-23"
"Mada-BLKU-0007659","Mada","2026-03-24","AlQurashi-KSA","145021","129068","1751.0","SAR","015795017321-TAIFTERAML","2026-03-24"
"Mada-BLKU-0007660","Mada","2026-03-25","AlQurashi-KSA","145021","129068","3462.0","SAR","015795017321-TAIFTERAML","2026-03-25"
"Mada-BLKU-0007661","Mada","2026-03-26","AlQurashi-KSA","145021","129068","4448.0","SAR","015795017321-TAIFTERAML","2026-03-26"
"Mada-BLKU-0007662","Mada","2026-03-27","AlQurashi-KSA","145021","129068","3686.0","SAR","015795017321-TAIFTERAML","2026-03-27"
"Mada-BLKU-0007663","Mada","2026-03-28","AlQurashi-KSA","145021","129068","1624.0","SAR","015795017321-TAIFTERAML","2026-03-28"
"Mada-BLKU-0007664","Mada","2026-03-29","AlQurashi-KSA","145021","129068","2097.0","SAR","015795017321-TAIFTERAML","2026-03-29"
"Mada-BLKU-0007666","Mada","2026-03-30","AlQurashi-KSA","145021","129068","4632.0","SAR","015795017321-TAIFTERAML","2026-03-30"
"Mada-BLKU-0007667","Mada","2026-03-31","AlQurashi-KSA","145021","129068","4722.0","SAR","015795017321-TAIFTERAML","2026-03-31"
