"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0007641","Master","2026-03-06","AlQurashi-KSA","145021","129068","69.0","SAR","015795017321-TAIFTERAML","2026-03-06"
"Master-BLKU-0007645","Master","2026-03-10","AlQurashi-KSA","145021","129068","199.0","SAR","015795017321-TAIFTERAML","2026-03-10"
"Master-BLKU-0007646","Master","2026-03-11","AlQurashi-KSA","145021","129068","1522.0","SAR","015795017321-TAIFTERAML","2026-03-11"
"Master-BLKU-0007648","Master","2026-03-13","AlQurashi-KSA","145021","129068","299.0","SAR","015795017321-TAIFTERAML","2026-03-13"
"Master-BLKU-0007649","Master","2026-03-14","AlQurashi-KSA","145021","129068","570.0","SAR","015795017321-TAIFTERAML","2026-03-14"
"Master-BLKU-0007650","Master","2026-03-15","AlQurashi-KSA","145021","129068","99.0","SAR","015795017321-TAIFTERAML","2026-03-15"
"Master-BLKU-0007651","Master","2026-03-16","AlQurashi-KSA","145021","129068","795.0","SAR","015795017321-TAIFTERAML","2026-03-16"
"Master-BLKU-0007652","Master","2026-03-17","AlQurashi-KSA","145021","129068","200.0","SAR","015795017321-TAIFTERAML","2026-03-17"
"Master-BLKU-0007653","Master","2026-03-18","AlQurashi-KSA","145021","129068","714.0","SAR","015795017321-TAIFTERAML","2026-03-18"
"Master-BLKU-0007654","Master","2026-03-19","AlQurashi-KSA","145021","129068","582.0","SAR","015795017321-TAIFTERAML","2026-03-19"
"Master-BLKU-0007655","Master","2026-03-20","AlQurashi-KSA","145021","129068","299.0","SAR","015795017321-TAIFTERAML","2026-03-20"
"Master-BLKU-0007656","Master","2026-03-21","AlQurashi-KSA","145021","129068","434.0","SAR","015795017321-TAIFTERAML","2026-03-21"
"Master-BLKU-0007658","Master","2026-03-23","AlQurashi-KSA","145021","129068","384.0","SAR","015795017321-TAIFTERAML","2026-03-23"
"Master-BLKU-0007666","Master","2026-03-30","AlQurashi-KSA","145021","129068","299.0","SAR","015795017321-TAIFTERAML","2026-03-30"
