"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-PAYMENT-TAIFSHARST/27368 REFUND","Cash","2026-03-30","AlQurashi-KSA","87014","73009","-499.0","SAR","Cash TAIFSHARST","2026-03-30"
"Cash-BLKU-0007640","Cash","2026-03-05","AlQurashi-KSA","145021","129068","1412.0","SAR","Cash TAIFTERAML","2026-03-05"
"Cash-BLKU-0007641","Cash","2026-03-06","AlQurashi-KSA","145021","129068","1629.0","SAR","Cash TAIFTERAML","2026-03-06"
"Cash-BLKU-0007642","Cash","2026-03-07","AlQurashi-KSA","145021","129068","3062.0","SAR","Cash TAIFTERAML","2026-03-07"
"Cash-BLKU-0007643","Cash","2026-03-08","AlQurashi-KSA","145021","129068","2606.0","SAR","Cash TAIFTERAML","2026-03-08"
"Cash-BLKU-0007644","Cash","2026-03-09","AlQurashi-KSA","145021","129068","1419.0","SAR","Cash TAIFTERAML","2026-03-09"
"Cash-BLKU-0007645","Cash","2026-03-10","AlQurashi-KSA","145021","129068","3525.0","SAR","Cash TAIFTERAML","2026-03-10"
"Cash-BLKU-0007646","Cash","2026-03-11","AlQurashi-KSA","145021","129068","3805.0","SAR","Cash TAIFTERAML","2026-03-11"
"Cash-BLKU-0007647","Cash","2026-03-12","AlQurashi-KSA","145021","129068","3252.0","SAR","Cash TAIFTERAML","2026-03-12"
"Cash-BLKU-0007648","Cash","2026-03-13","AlQurashi-KSA","145021","129068","6810.0","SAR","Cash TAIFTERAML","2026-03-13"
"Cash-BLKU-0007649","Cash","2026-03-14","AlQurashi-KSA","145021","129068","3209.0","SAR","Cash TAIFTERAML","2026-03-14"
"Cash-BLKU-0007650","Cash","2026-03-15","AlQurashi-KSA","145021","129068","1785.0","SAR","Cash TAIFTERAML","2026-03-15"
"Cash-BLKU-0007651","Cash","2026-03-16","AlQurashi-KSA","145021","129068","3993.0","SAR","Cash TAIFTERAML","2026-03-16"
"Cash-BLKU-0007652","Cash","2026-03-17","AlQurashi-KSA","145021","129068","7729.0","SAR","Cash TAIFTERAML","2026-03-17"
"Cash-BLKU-0007653","Cash","2026-03-18","AlQurashi-KSA","145021","129068","5291.0","SAR","Cash TAIFTERAML","2026-03-18"
"Cash-BLKU-0007654","Cash","2026-03-19","AlQurashi-KSA","145021","129068","4708.0","SAR","Cash TAIFTERAML","2026-03-19"
"Cash-BLKU-0007655","Cash","2026-03-20","AlQurashi-KSA","145021","129068","2260.0","SAR","Cash TAIFTERAML","2026-03-20"
"Cash-BLKU-0007656","Cash","2026-03-21","AlQurashi-KSA","145021","129068","2356.0","SAR","Cash TAIFTERAML","2026-03-21"
"Cash-BLKU-0007657","Cash","2026-03-22","AlQurashi-KSA","145021","129068","1875.0","SAR","Cash TAIFTERAML","2026-03-22"
"Cash-BLKU-0007658","Cash","2026-03-23","AlQurashi-KSA","145021","129068","2055.0","SAR","Cash TAIFTERAML","2026-03-23"
"Cash-BLKU-0007659","Cash","2026-03-24","AlQurashi-KSA","145021","129068","1325.0","SAR","Cash TAIFTERAML","2026-03-24"
"Cash-BLKU-0007660","Cash","2026-03-25","AlQurashi-KSA","145021","129068","523.0","SAR","Cash TAIFTERAML","2026-03-25"
"Cash-BLKU-0007661","Cash","2026-03-26","AlQurashi-KSA","145021","129068","441.0","SAR","Cash TAIFTERAML","2026-03-26"
"Cash-BLKU-0007662","Cash","2026-03-27","AlQurashi-KSA","145021","129068","923.0","SAR","Cash TAIFTERAML","2026-03-27"
"Cash-BLKU-0007663","Cash","2026-03-28","AlQurashi-KSA","145021","129068","807.0","SAR","Cash TAIFTERAML","2026-03-28"
