"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-PAYMENT-ALMALGARYD/14036 REFUND","Cash","2026-03-10","AlQurashi-KSA","88022","74012","-340.0","SAR","Cash ALMALGARYD","2026-03-10"
"Cash-PAYMENT-KHAMSBLVRD/8276 REFUND","Cash","2026-03-15","AlQurashi-KSA","124012","108003","-798.0","SAR","Cash KHAMSBLVRD","2026-03-15"
"Cash-BLKU-0001780","Cash","2026-03-05","AlQurashi-KSA","3004","2004","15066.0","SAR","CashOth Mall Hail","2026-03-05"
"Cash-BLKU-0001781","Cash","2026-03-06","AlQurashi-KSA","3004","2004","-12194.0","SAR","CashOth Mall Hail","2026-03-06"
"Cash-BLKU-0001782","Cash","2026-03-07","AlQurashi-KSA","3004","2004","27377.0","SAR","CashOth Mall Hail","2026-03-07"
"Cash-BLKU-0001783","Cash","2026-03-08","AlQurashi-KSA","3004","2004","479.0","SAR","CashOth Mall Hail","2026-03-08"
"Cash-BLKU-0001784","Cash","2026-03-09","AlQurashi-KSA","3004","2004","2414.0","SAR","CashOth Mall Hail","2026-03-09"
"Cash-BLKU-0001786","Cash","2026-03-10","AlQurashi-KSA","3004","2004","2550.0","SAR","CashOth Mall Hail","2026-03-10"
"Cash-BLKU-0001787","Cash","2026-03-11","AlQurashi-KSA","3004","2004","975.0","SAR","CashOth Mall Hail","2026-03-11"
"Cash-BLKU-0001788","Cash","2026-03-12","AlQurashi-KSA","3004","2004","1514.0","SAR","CashOth Mall Hail","2026-03-12"
"Cash-BLKU-0001789","Cash","2026-03-13","AlQurashi-KSA","3004","2004","2555.0","SAR","CashOth Mall Hail","2026-03-13"
"Cash-BLKU-0001790","Cash","2026-03-14","AlQurashi-KSA","3004","2004","1788.0","SAR","CashOth Mall Hail","2026-03-14"
"Cash-BLKU-0001792","Cash","2026-03-15","AlQurashi-KSA","3004","2004","2385.0","SAR","CashOth Mall Hail","2026-03-15"
"Cash-BLKU-0001793","Cash","2026-03-16","AlQurashi-KSA","3004","2004","2443.0","SAR","CashOth Mall Hail","2026-03-16"
"Cash-BLKU-0001794","Cash","2026-03-17","AlQurashi-KSA","3004","2004","1943.0","SAR","CashOth Mall Hail","2026-03-17"
"Cash-BLKU-0001795","Cash","2026-03-18","AlQurashi-KSA","3004","2004","214.0","SAR","CashOth Mall Hail","2026-03-18"
"Cash-BLKU-0001796","Cash","2026-03-19","AlQurashi-KSA","3004","2004","4389.0","SAR","CashOth Mall Hail","2026-03-19"
"Cash-BLKU-0001797","Cash","2026-03-20","AlQurashi-KSA","3004","2004","1019.0","SAR","CashOth Mall Hail","2026-03-20"
"Cash-BLKU-0001798","Cash","2026-03-21","AlQurashi-KSA","3004","2004","948.0","SAR","CashOth Mall Hail","2026-03-21"
"Cash-BLKU-0001799","Cash","2026-03-22","AlQurashi-KSA","3004","2004","444.0","SAR","CashOth Mall Hail","2026-03-22"
"Cash-BLKU-0001800","Cash","2026-03-23","AlQurashi-KSA","3004","2004","250.0","SAR","CashOth Mall Hail","2026-03-23"
"Cash-BLKU-0001801","Cash","2026-03-24","AlQurashi-KSA","3004","2004","274.0","SAR","CashOth Mall Hail","2026-03-24"
"Cash-BLKU-0001802","Cash","2026-03-25","AlQurashi-KSA","3004","2004","1274.0","SAR","CashOth Mall Hail","2026-03-25"
"Cash-BLKU-0001803","Cash","2026-03-26","AlQurashi-KSA","3004","2004","4.0","SAR","CashOth Mall Hail","2026-03-26"
"Cash-BLKU-0001804","Cash","2026-03-27","AlQurashi-KSA","3004","2004","378.0","SAR","CashOth Mall Hail","2026-03-27"
"Cash-BLKU-0001805","Cash","2026-03-28","AlQurashi-KSA","3004","2004","1859.0","SAR","CashOth Mall Hail","2026-03-28"
"Cash-BLKU-0001806","Cash","2026-03-29","AlQurashi-KSA","3004","2004","1245.0","SAR","CashOth Mall Hail","2026-03-29"
"Cash-BLKU-0001807","Cash","2026-03-30","AlQurashi-KSA","3004","2004","598.0","SAR","CashOth Mall Hail","2026-03-30"
"Cash-BLKU-0001808","Cash","2026-03-31","AlQurashi-KSA","3004","2004","0.0","SAR","CashOth Mall Hail","2026-03-31"
"Cash-BLKU-0001815","Cash","2026-03-06","AlQurashi-KSA","3001","2001","-347.07","SAR","CASH Tawaren Center Branch","2026-03-06"
