"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0001781","Master","2026-03-06","AlQurashi-KSA","3004","2004","1013.03","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-06"
"Master-BLKU-0001782","Master","2026-03-07","AlQurashi-KSA","3004","2004","550.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-07"
"Master-BLKU-0001783","Master","2026-03-08","AlQurashi-KSA","3004","2004","562.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-08"
"Master-BLKU-0001784","Master","2026-03-09","AlQurashi-KSA","3004","2004","1463.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-09"
"Master-BLKU-0001786","Master","2026-03-10","AlQurashi-KSA","3004","2004","571.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-10"
"Master-BLKU-0001787","Master","2026-03-11","AlQurashi-KSA","3004","2004","857.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-11"
"Master-BLKU-0001788","Master","2026-03-12","AlQurashi-KSA","3004","2004","483.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-12"
"Master-BLKU-0001789","Master","2026-03-13","AlQurashi-KSA","3004","2004","1465.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-13"
"Master-BLKU-0001792","Master","2026-03-15","AlQurashi-KSA","3004","2004","2407.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-15"
"Master-BLKU-0001793","Master","2026-03-16","AlQurashi-KSA","3004","2004","2644.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-16"
"Master-BLKU-0001794","Master","2026-03-17","AlQurashi-KSA","3004","2004","1070.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-17"
"Master-BLKU-0001795","Master","2026-03-18","AlQurashi-KSA","3004","2004","913.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-18"
"Master-BLKU-0001796","Master","2026-03-19","AlQurashi-KSA","3004","2004","1710.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-19"
"Master-BLKU-0001798","Master","2026-03-21","AlQurashi-KSA","3004","2004","1182.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-21"
"Master-BLKU-0001799","Master","2026-03-22","AlQurashi-KSA","3004","2004","698.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-22"
"Master-BLKU-0001803","Master","2026-03-26","AlQurashi-KSA","3004","2004","1036.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-26"
"Master-BLKU-0001804","Master","2026-03-27","AlQurashi-KSA","3004","2004","199.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-27"
"Master-BLKU-0001805","Master","2026-03-28","AlQurashi-KSA","3004","2004","398.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-28"
"Master-BLKU-0001806","Master","2026-03-29","AlQurashi-KSA","3004","2004","199.0","SAR","AL Jazeerah Bank MJMAKRMMAL","2026-03-29"
