"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Master-BLKU-0001814","Master","2026-03-05","AlQurashi-KSA","3001","2001","783.0","SAR","1831434139959","2026-03-05"
"Master-BLKU-0001816","Master","2026-03-06","AlQurashi-KSA","3001","2001","697.0","SAR","1831434139959","2026-03-06"
"Master-BLKU-0001817","Master","2026-03-07","AlQurashi-KSA","3001","2001","987.0","SAR","1831434139959","2026-03-07"
"Master-BLKU-0001819","Master","2026-03-09","AlQurashi-KSA","3001","2001","149.0","SAR","1831434139959","2026-03-09"
"Master-BLKU-0001820","Master","2026-03-10","AlQurashi-KSA","3001","2001","835.0","SAR","1831434139959","2026-03-10"
"Master-BLKU-0001821","Master","2026-03-11","AlQurashi-KSA","3001","2001","11127.0","SAR","1831434139959","2026-03-11"
"Master-BLKU-0001822","Master","2026-03-12","AlQurashi-KSA","3001","2001","760.0","SAR","1831434139959","2026-03-12"
"Master-BLKU-0001823","Master","2026-03-13","AlQurashi-KSA","3001","2001","2454.0","SAR","1831434139959","2026-03-13"
"Master-BLKU-0001824","Master","2026-03-14","AlQurashi-KSA","3001","2001","1761.0","SAR","1831434139959","2026-03-14"
"Master-BLKU-0001825","Master","2026-03-15","AlQurashi-KSA","3001","2001","2918.0","SAR","1831434139959","2026-03-15"
"Master-BLKU-0001826","Master","2026-03-16","AlQurashi-KSA","3001","2001","2132.0","SAR","1831434139959","2026-03-16"
"Master-BLKU-0001827","Master","2026-03-17","AlQurashi-KSA","3001","2001","2323.0","SAR","1831434139959","2026-03-17"
"Master-BLKU-0001828","Master","2026-03-18","AlQurashi-KSA","3001","2001","724.0","SAR","1831434139959","2026-03-18"
"Master-BLKU-0001829","Master","2026-03-19","AlQurashi-KSA","3001","2001","9631.0","SAR","1831434139959","2026-03-19"
"Master-BLKU-0001831","Master","2026-03-21","AlQurashi-KSA","3001","2001","160.0","SAR","1831434139959","2026-03-21"
"Master-BLKU-0001832","Master","2026-03-22","AlQurashi-KSA","3001","2001","4476.0","SAR","1831434139959","2026-03-22"
"Master-BLKU-0001833","Master","2026-03-23","AlQurashi-KSA","3001","2001","796.0","SAR","1831434139959","2026-03-23"
"Master-BLKU-0001834","Master","2026-03-24","AlQurashi-KSA","3001","2001","160.0","SAR","1831434139959","2026-03-24"
"Master-BLKU-0001835","Master","2026-03-25","AlQurashi-KSA","3001","2001","770.0","SAR","1831434139959","2026-03-25"
"Master-BLKU-0001836","Master","2026-03-26","AlQurashi-KSA","3001","2001","781.0","SAR","1831434139959","2026-03-26"
"Master-BLKU-0001838","Master","2026-03-27","AlQurashi-KSA","3001","2001","1011.0","SAR","1831434139959","2026-03-27"
"Master-BLKU-0001839","Master","2026-03-28","AlQurashi-KSA","3001","2001","770.0","SAR","1831434139959","2026-03-28"
"Master-BLKU-0001840","Master","2026-03-29","AlQurashi-KSA","3001","2001","856.0","SAR","1831434139959","2026-03-29"
"Master-BLKU-0001841","Master","2026-03-30","AlQurashi-KSA","3001","2001","1045.0","SAR","1831434139959","2026-03-30"
"Master-BLKU-0001842","Master","2026-03-31","AlQurashi-KSA","3001","2001","1146.0","SAR","1831434139959","2026-03-31"
