"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-PAYMENT-TALAMALL/32026 REFUND","Cash","2026-03-05","AlQurashi-KSA","3004","2004","-299.0","SAR","CashOth Mall Hail","2026-03-05"
"Cash-BLKU-0004839","Cash","2026-03-05","AlQurashi-KSA","88021","74011","1258.0","SAR","Cash THEGATERYD","2026-03-05"
"Cash-BLKU-0004840","Cash","2026-03-06","AlQurashi-KSA","88021","74011","873.0","SAR","Cash THEGATERYD","2026-03-06"
"Cash-BLKU-0004841","Cash","2026-03-07","AlQurashi-KSA","88021","74011","-1.0","SAR","Cash THEGATERYD","2026-03-07"
"Cash-BLKU-0004842","Cash","2026-03-08","AlQurashi-KSA","88021","74011","0.0","SAR","Cash THEGATERYD","2026-03-08"
"Cash-BLKU-0004843","Cash","2026-03-09","AlQurashi-KSA","88021","74011","461.0","SAR","Cash THEGATERYD","2026-03-09"
"Cash-BLKU-0004844","Cash","2026-03-10","AlQurashi-KSA","88021","74011","390.0","SAR","Cash THEGATERYD","2026-03-10"
"Cash-BLKU-0004845","Cash","2026-03-11","AlQurashi-KSA","88021","74011","100.0","SAR","Cash THEGATERYD","2026-03-11"
"Cash-BLKU-0004846","Cash","2026-03-12","AlQurashi-KSA","88021","74011","610.0","SAR","Cash THEGATERYD","2026-03-12"
"Cash-BLKU-0004847","Cash","2026-03-13","AlQurashi-KSA","88021","74011","1871.0","SAR","Cash THEGATERYD","2026-03-13"
"Cash-BLKU-0004848","Cash","2026-03-14","AlQurashi-KSA","88021","74011","851.0","SAR","Cash THEGATERYD","2026-03-14"
"Cash-BLKU-0004849","Cash","2026-03-15","AlQurashi-KSA","88021","74011","995.0","SAR","Cash THEGATERYD","2026-03-15"
"Cash-BLKU-0004850","Cash","2026-03-16","AlQurashi-KSA","88021","74011","0.0","SAR","Cash THEGATERYD","2026-03-16"
"Cash-BLKU-0004851","Cash","2026-03-17","AlQurashi-KSA","88021","74011","183.0","SAR","Cash THEGATERYD","2026-03-17"
"Cash-BLKU-0004852","Cash","2026-03-18","AlQurashi-KSA","88021","74011","2461.0","SAR","Cash THEGATERYD","2026-03-18"
"Cash-BLKU-0004853","Cash","2026-03-19","AlQurashi-KSA","88021","74011","1318.0","SAR","Cash THEGATERYD","2026-03-19"
"Cash-BLKU-0004854","Cash","2026-03-20","AlQurashi-KSA","88021","74011","1522.0","SAR","Cash THEGATERYD","2026-03-20"
"Cash-BLKU-0004855","Cash","2026-03-21","AlQurashi-KSA","88021","74011","794.0","SAR","Cash THEGATERYD","2026-03-21"
"Cash-BLKU-0004856","Cash","2026-03-22","AlQurashi-KSA","88021","74011","803.0","SAR","Cash THEGATERYD","2026-03-22"
"Cash-BLKU-0004857","Cash","2026-03-23","AlQurashi-KSA","88021","74011","-78.0","SAR","Cash THEGATERYD","2026-03-23"
"Cash-BLKU-0004858","Cash","2026-03-24","AlQurashi-KSA","88021","74011","199.0","SAR","Cash THEGATERYD","2026-03-24"
"Cash-BLKU-0004859","Cash","2026-03-25","AlQurashi-KSA","88021","74011","379.0","SAR","Cash THEGATERYD","2026-03-25"
"Cash-BLKU-0004860","Cash","2026-03-26","AlQurashi-KSA","88021","74011","399.0","SAR","Cash THEGATERYD","2026-03-26"
"Cash-BLKU-0004862","Cash","2026-03-28","AlQurashi-KSA","88021","74011","598.0","SAR","Cash THEGATERYD","2026-03-28"
"Cash-BLKU-0004864","Cash","2026-03-30","AlQurashi-KSA","88021","74011","199.0","SAR","Cash THEGATERYD","2026-03-30"
