"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0004839","Mada","2026-03-05","AlQurashi-KSA","88021","74011","3648.0","SAR","157-95017321-THEGATERYD","2026-03-05"
"Mada-BLKU-0004840","Mada","2026-03-06","AlQurashi-KSA","88021","74011","4924.0","SAR","157-95017321-THEGATERYD","2026-03-06"
"Mada-BLKU-0004841","Mada","2026-03-07","AlQurashi-KSA","88021","74011","4148.0","SAR","157-95017321-THEGATERYD","2026-03-07"
"Mada-BLKU-0004842","Mada","2026-03-08","AlQurashi-KSA","88021","74011","5189.0","SAR","157-95017321-THEGATERYD","2026-03-08"
"Mada-BLKU-0004843","Mada","2026-03-09","AlQurashi-KSA","88021","74011","3934.0","SAR","157-95017321-THEGATERYD","2026-03-09"
"Mada-BLKU-0004844","Mada","2026-03-10","AlQurashi-KSA","88021","74011","6031.0","SAR","157-95017321-THEGATERYD","2026-03-10"
"Mada-BLKU-0004845","Mada","2026-03-11","AlQurashi-KSA","88021","74011","5283.0","SAR","157-95017321-THEGATERYD","2026-03-11"
"Mada-BLKU-0004846","Mada","2026-03-12","AlQurashi-KSA","88021","74011","4627.0","SAR","157-95017321-THEGATERYD","2026-03-12"
"Mada-BLKU-0004847","Mada","2026-03-13","AlQurashi-KSA","88021","74011","4586.0","SAR","157-95017321-THEGATERYD","2026-03-13"
"Mada-BLKU-0004848","Mada","2026-03-14","AlQurashi-KSA","88021","74011","5015.0","SAR","157-95017321-THEGATERYD","2026-03-14"
"Mada-BLKU-0004849","Mada","2026-03-15","AlQurashi-KSA","88021","74011","6650.0","SAR","157-95017321-THEGATERYD","2026-03-15"
"Mada-BLKU-0004850","Mada","2026-03-16","AlQurashi-KSA","88021","74011","7020.0","SAR","157-95017321-THEGATERYD","2026-03-16"
"Mada-BLKU-0004851","Mada","2026-03-17","AlQurashi-KSA","88021","74011","7216.0","SAR","157-95017321-THEGATERYD","2026-03-17"
"Mada-BLKU-0004852","Mada","2026-03-18","AlQurashi-KSA","88021","74011","9728.0","SAR","157-95017321-THEGATERYD","2026-03-18"
"Mada-BLKU-0004853","Mada","2026-03-19","AlQurashi-KSA","88021","74011","11859.0","SAR","157-95017321-THEGATERYD","2026-03-19"
"Mada-BLKU-0004854","Mada","2026-03-20","AlQurashi-KSA","88021","74011","6001.0","SAR","157-95017321-THEGATERYD","2026-03-20"
"Mada-BLKU-0004855","Mada","2026-03-21","AlQurashi-KSA","88021","74011","3123.0","SAR","157-95017321-THEGATERYD","2026-03-21"
"Mada-BLKU-0004856","Mada","2026-03-22","AlQurashi-KSA","88021","74011","3147.0","SAR","157-95017321-THEGATERYD","2026-03-22"
"Mada-BLKU-0004857","Mada","2026-03-23","AlQurashi-KSA","88021","74011","3527.0","SAR","157-95017321-THEGATERYD","2026-03-23"
"Mada-BLKU-0004858","Mada","2026-03-24","AlQurashi-KSA","88021","74011","2851.0","SAR","157-95017321-THEGATERYD","2026-03-24"
"Mada-BLKU-0004859","Mada","2026-03-25","AlQurashi-KSA","88021","74011","2882.0","SAR","157-95017321-THEGATERYD","2026-03-25"
"Mada-BLKU-0004860","Mada","2026-03-26","AlQurashi-KSA","88021","74011","3031.0","SAR","157-95017321-THEGATERYD","2026-03-26"
"Mada-BLKU-0004861","Mada","2026-03-27","AlQurashi-KSA","88021","74011","2903.0","SAR","157-95017321-THEGATERYD","2026-03-27"
"Mada-BLKU-0004862","Mada","2026-03-28","AlQurashi-KSA","88021","74011","1779.0","SAR","157-95017321-THEGATERYD","2026-03-28"
"Mada-BLKU-0004863","Mada","2026-03-29","AlQurashi-KSA","88021","74011","2216.0","SAR","157-95017321-THEGATERYD","2026-03-29"
"Mada-BLKU-0004864","Mada","2026-03-30","AlQurashi-KSA","88021","74011","683.0","SAR","157-95017321-THEGATERYD","2026-03-30"
"Mada-BLKU-0004865","Mada","2026-03-31","AlQurashi-KSA","88021","74011","625.0","SAR","157-95017321-THEGATERYD","2026-03-31"
