"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Mada-BLKU-0007685","Mada","2026-03-05","AlQurashi-KSA","156026","137062","8134.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-05"
"Mada-BLKU-0007686","Mada","2026-03-06","AlQurashi-KSA","156026","137062","22054.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-06"
"Mada-BLKU-0007687","Mada","2026-03-07","AlQurashi-KSA","156026","137062","7894.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-07"
"Mada-BLKU-0007688","Mada","2026-03-08","AlQurashi-KSA","156026","137062","11280.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-08"
"Mada-BLKU-0007689","Mada","2026-03-09","AlQurashi-KSA","156026","137062","10589.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-09"
"Mada-BLKU-0007690","Mada","2026-03-10","AlQurashi-KSA","156026","137062","13093.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-10"
"Mada-BLKU-0007691","Mada","2026-03-11","AlQurashi-KSA","156026","137062","11279.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-11"
"Mada-BLKU-0007692","Mada","2026-03-12","AlQurashi-KSA","156026","137062","7710.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-12"
"Mada-BLKU-0007693","Mada","2026-03-13","AlQurashi-KSA","156026","137062","6412.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-13"
"Mada-BLKU-0007694","Mada","2026-03-14","AlQurashi-KSA","156026","137062","10282.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-14"
"Mada-BLKU-0007695","Mada","2026-03-15","AlQurashi-KSA","156026","137062","8323.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-15"
"Mada-BLKU-0007697","Mada","2026-03-16","AlQurashi-KSA","156026","137062","11463.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-16"
"Mada-BLKU-0007698","Mada","2026-03-17","AlQurashi-KSA","156026","137062","6837.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-17"
"Mada-BLKU-0007699","Mada","2026-03-18","AlQurashi-KSA","156026","137062","8359.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-18"
"Mada-BLKU-0007700","Mada","2026-03-19","AlQurashi-KSA","156026","137062","13428.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-19"
"Mada-BLKU-0007701","Mada","2026-03-20","AlQurashi-KSA","156026","137062","3148.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-20"
"Mada-BLKU-0007702","Mada","2026-03-21","AlQurashi-KSA","156026","137062","1719.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-21"
"Mada-BLKU-0007703","Mada","2026-03-22","AlQurashi-KSA","156026","137062","1105.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-22"
"Mada-BLKU-0007704","Mada","2026-03-23","AlQurashi-KSA","156026","137062","722.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-23"
"Mada-BLKU-0007705","Mada","2026-03-24","AlQurashi-KSA","156026","137062","115.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-24"
"Mada-BLKU-0007706","Mada","2026-03-25","AlQurashi-KSA","156026","137062","487.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-25"
"Mada-BLKU-0007707","Mada","2026-03-27","AlQurashi-KSA","156026","137062","1784.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-27"
"Mada-BLKU-0007708","Mada","2026-03-28","AlQurashi-KSA","156026","137062","1291.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-28"
"Mada-BLKU-0007709","Mada","2026-03-29","AlQurashi-KSA","156026","137062","562.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-29"
"Mada-BLKU-0007710","Mada","2026-03-30","AlQurashi-KSA","156026","137062","1351.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-30"
"Mada-BLKU-0007711","Mada","2026-03-31","AlQurashi-KSA","156026","137062","326.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-31"
