"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-PAYMENT-TAIFSHARST/25943 REFUND","Cash","2026-03-16","AlQurashi-KSA","87014","73009","-340.0","SAR","Cash TAIFSHARST","2026-03-16"
"Cash-BLKU-0007685","Cash","2026-03-05","AlQurashi-KSA","156026","137062","2475.0","SAR","Cash TIFZHRNCTR#","2026-03-05"
"Cash-BLKU-0007686","Cash","2026-03-06","AlQurashi-KSA","156026","137062","3822.0","SAR","Cash TIFZHRNCTR#","2026-03-06"
"Cash-BLKU-0007687","Cash","2026-03-07","AlQurashi-KSA","156026","137062","5404.0","SAR","Cash TIFZHRNCTR#","2026-03-07"
"Cash-BLKU-0007688","Cash","2026-03-08","AlQurashi-KSA","156026","137062","3318.0","SAR","Cash TIFZHRNCTR#","2026-03-08"
"Cash-BLKU-0007689","Cash","2026-03-09","AlQurashi-KSA","156026","137062","3623.0","SAR","Cash TIFZHRNCTR#","2026-03-09"
"Cash-BLKU-0007690","Cash","2026-03-10","AlQurashi-KSA","156026","137062","4925.0","SAR","Cash TIFZHRNCTR#","2026-03-10"
"Cash-BLKU-0007691","Cash","2026-03-11","AlQurashi-KSA","156026","137062","3829.0","SAR","Cash TIFZHRNCTR#","2026-03-11"
"Cash-BLKU-0007692","Cash","2026-03-12","AlQurashi-KSA","156026","137062","6231.0","SAR","Cash TIFZHRNCTR#","2026-03-12"
"Cash-BLKU-0007693","Cash","2026-03-13","AlQurashi-KSA","156026","137062","8120.0","SAR","Cash TIFZHRNCTR#","2026-03-13"
"Cash-BLKU-0007694","Cash","2026-03-14","AlQurashi-KSA","156026","137062","5999.0","SAR","Cash TIFZHRNCTR#","2026-03-14"
"Cash-BLKU-0007695","Cash","2026-03-15","AlQurashi-KSA","156026","137062","5704.0","SAR","Cash TIFZHRNCTR#","2026-03-15"
"Cash-BLKU-0007697","Cash","2026-03-16","AlQurashi-KSA","156026","137062","10518.0","SAR","Cash TIFZHRNCTR#","2026-03-16"
"Cash-BLKU-0007698","Cash","2026-03-17","AlQurashi-KSA","156026","137062","7449.0","SAR","Cash TIFZHRNCTR#","2026-03-17"
"Cash-BLKU-0007699","Cash","2026-03-18","AlQurashi-KSA","156026","137062","5267.0","SAR","Cash TIFZHRNCTR#","2026-03-18"
"Cash-BLKU-0007700","Cash","2026-03-19","AlQurashi-KSA","156026","137062","8301.0","SAR","Cash TIFZHRNCTR#","2026-03-19"
"Cash-BLKU-0007701","Cash","2026-03-20","AlQurashi-KSA","156026","137062","4461.0","SAR","Cash TIFZHRNCTR#","2026-03-20"
"Cash-BLKU-0007702","Cash","2026-03-21","AlQurashi-KSA","156026","137062","383.0","SAR","Cash TIFZHRNCTR#","2026-03-21"
"Cash-BLKU-0007703","Cash","2026-03-22","AlQurashi-KSA","156026","137062","768.0","SAR","Cash TIFZHRNCTR#","2026-03-22"
"Cash-BLKU-0007704","Cash","2026-03-23","AlQurashi-KSA","156026","137062","984.0","SAR","Cash TIFZHRNCTR#","2026-03-23"
"Cash-BLKU-0007705","Cash","2026-03-24","AlQurashi-KSA","156026","137062","503.0","SAR","Cash TIFZHRNCTR#","2026-03-24"
"Cash-BLKU-0007706","Cash","2026-03-25","AlQurashi-KSA","156026","137062","386.0","SAR","Cash TIFZHRNCTR#","2026-03-25"
"Cash-BLKU-0007707","Cash","2026-03-27","AlQurashi-KSA","156026","137062","991.0","SAR","Cash TIFZHRNCTR#","2026-03-27"
"Cash-BLKU-0007708","Cash","2026-03-28","AlQurashi-KSA","156026","137062","360.0","SAR","Cash TIFZHRNCTR#","2026-03-28"
"Cash-BLKU-0007709","Cash","2026-03-29","AlQurashi-KSA","156026","137062","649.0","SAR","Cash TIFZHRNCTR#","2026-03-29"
"Cash-BLKU-0007710","Cash","2026-03-30","AlQurashi-KSA","156026","137062","344.0","SAR","Cash TIFZHRNCTR#","2026-03-30"
"Cash-BLKU-0007711","Cash","2026-03-31","AlQurashi-KSA","156026","137062","523.0","SAR","Cash TIFZHRNCTR#","2026-03-31"
"Mada-BLKU-0007685","Mada","2026-03-05","AlQurashi-KSA","156026","137062","8134.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-05"
