"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0007685","Visa","2026-03-05","AlQurashi-KSA","156026","137062","1146.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-05"
"Visa-BLKU-0007687","Visa","2026-03-07","AlQurashi-KSA","156026","137062","141.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-07"
"Visa-BLKU-0007688","Visa","2026-03-08","AlQurashi-KSA","156026","137062","531.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-08"
"Visa-BLKU-0007689","Visa","2026-03-09","AlQurashi-KSA","156026","137062","398.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-09"
"Visa-BLKU-0007690","Visa","2026-03-10","AlQurashi-KSA","156026","137062","1056.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-10"
"Visa-BLKU-0007691","Visa","2026-03-11","AlQurashi-KSA","156026","137062","398.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-11"
"Visa-BLKU-0007692","Visa","2026-03-12","AlQurashi-KSA","156026","137062","794.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-12"
"Visa-BLKU-0007693","Visa","2026-03-13","AlQurashi-KSA","156026","137062","967.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-13"
"Visa-BLKU-0007694","Visa","2026-03-14","AlQurashi-KSA","156026","137062","733.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-14"
"Visa-BLKU-0007695","Visa","2026-03-15","AlQurashi-KSA","156026","137062","199.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-15"
"Visa-BLKU-0007698","Visa","2026-03-17","AlQurashi-KSA","156026","137062","545.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-17"
"Visa-BLKU-0007699","Visa","2026-03-18","AlQurashi-KSA","156026","137062","496.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-18"
"Visa-BLKU-0007700","Visa","2026-03-19","AlQurashi-KSA","156026","137062","619.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-19"
"Visa-BLKU-0007701","Visa","2026-03-20","AlQurashi-KSA","156026","137062","1519.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-20"
"Visa-BLKU-0007702","Visa","2026-03-21","AlQurashi-KSA","156026","137062","435.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-21"
"Visa-BLKU-0007704","Visa","2026-03-23","AlQurashi-KSA","156026","137062","987.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-23"
"Visa-BLKU-0007706","Visa","2026-03-25","AlQurashi-KSA","156026","137062","180.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-25"
"Visa-BLKU-0007711","Visa","2026-03-31","AlQurashi-KSA","156026","137062","248.0","SAR","AL Jazeerah Bank TIFZHRNCTR#","2026-03-31"
