"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-BLKU-0007713","Cash","2026-03-05","AlQurashi-KSA","153012","135003","1920.0","SAR","Cash WADIDAWSER","2026-03-05"
"Cash-BLKU-0007714","Cash","2026-03-06","AlQurashi-KSA","153012","135003","3507.0","SAR","Cash WADIDAWSER","2026-03-06"
"Cash-BLKU-0007715","Cash","2026-03-07","AlQurashi-KSA","153012","135003","1667.0","SAR","Cash WADIDAWSER","2026-03-07"
"Cash-BLKU-0007716","Cash","2026-03-08","AlQurashi-KSA","153012","135003","1495.0","SAR","Cash WADIDAWSER","2026-03-08"
"Cash-BLKU-0007717","Cash","2026-03-09","AlQurashi-KSA","153012","135003","1318.0","SAR","Cash WADIDAWSER","2026-03-09"
"Cash-BLKU-0007718","Cash","2026-03-10","AlQurashi-KSA","153012","135003","1781.0","SAR","Cash WADIDAWSER","2026-03-10"
"Cash-BLKU-0007719","Cash","2026-03-11","AlQurashi-KSA","153012","135003","4812.0","SAR","Cash WADIDAWSER","2026-03-11"
"Cash-BLKU-0007720","Cash","2026-03-12","AlQurashi-KSA","153012","135003","3757.0","SAR","Cash WADIDAWSER","2026-03-12"
"Cash-BLKU-0007721","Cash","2026-03-13","AlQurashi-KSA","153012","135003","3772.0","SAR","Cash WADIDAWSER","2026-03-13"
"Cash-BLKU-0007722","Cash","2026-03-14","AlQurashi-KSA","153012","135003","4131.0","SAR","Cash WADIDAWSER","2026-03-14"
"Cash-BLKU-0007723","Cash","2026-03-15","AlQurashi-KSA","153012","135003","4053.0","SAR","Cash WADIDAWSER","2026-03-15"
"Cash-BLKU-0007724","Cash","2026-03-16","AlQurashi-KSA","153012","135003","3645.0","SAR","Cash WADIDAWSER","2026-03-16"
"Cash-BLKU-0007725","Cash","2026-03-17","AlQurashi-KSA","153012","135003","3156.0","SAR","Cash WADIDAWSER","2026-03-17"
"Cash-BLKU-0007726","Cash","2026-03-18","AlQurashi-KSA","153012","135003","2337.0","SAR","Cash WADIDAWSER","2026-03-18"
"Cash-BLKU-0007727","Cash","2026-03-19","AlQurashi-KSA","153012","135003","2911.0","SAR","Cash WADIDAWSER","2026-03-19"
"Cash-BLKU-0007728","Cash","2026-03-20","AlQurashi-KSA","153012","135003","1433.0","SAR","Cash WADIDAWSER","2026-03-20"
"Cash-BLKU-0007730","Cash","2026-03-22","AlQurashi-KSA","153012","135003","299.0","SAR","Cash WADIDAWSER","2026-03-22"
"Cash-BLKU-0007732","Cash","2026-03-24","AlQurashi-KSA","153012","135003","747.0","SAR","Cash WADIDAWSER","2026-03-24"
"Cash-BLKU-0007734","Cash","2026-03-26","AlQurashi-KSA","153012","135003","0.0","SAR","Cash WADIDAWSER","2026-03-26"
"Cash-BLKU-0007735","Cash","2026-03-27","AlQurashi-KSA","153012","135003","1098.0","SAR","Cash WADIDAWSER","2026-03-27"
"Cash-BLKU-0007736","Cash","2026-03-28","AlQurashi-KSA","153012","135003","85.0","SAR","Cash WADIDAWSER","2026-03-28"
"Cash-BLKU-0007737","Cash","2026-03-29","AlQurashi-KSA","153012","135003","493.0","SAR","Cash WADIDAWSER","2026-03-29"
"Cash-BLKU-0007738","Cash","2026-03-30","AlQurashi-KSA","153012","135003","749.0","SAR","Cash WADIDAWSER","2026-03-30"
"Cash-BLKU-0007739","Cash","2026-03-31","AlQurashi-KSA","153012","135003","959.0","SAR","Cash WADIDAWSER","2026-03-31"
