"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Visa-BLKU-0001902","Visa","2026-03-05","AlQurashi-KSA","68011","49003","1278.0","SAR","015795017321049","2026-03-05"
"Visa-BLKU-0001903","Visa","2026-03-06","AlQurashi-KSA","68011","49003","1686.0","SAR","015795017321049","2026-03-06"
"Visa-BLKU-0001904","Visa","2026-03-07","AlQurashi-KSA","68011","49003","1518.0","SAR","015795017321049","2026-03-07"
"Visa-BLKU-0001905","Visa","2026-03-08","AlQurashi-KSA","68011","49003","3096.0","SAR","015795017321049","2026-03-08"
"Visa-BLKU-0001906","Visa","2026-03-09","AlQurashi-KSA","68011","49003","1351.0","SAR","015795017321049","2026-03-09"
"Visa-BLKU-0001907","Visa","2026-03-10","AlQurashi-KSA","68011","49003","4184.0","SAR","015795017321049","2026-03-10"
"Visa-BLKU-0001908","Visa","2026-03-11","AlQurashi-KSA","68011","49003","3868.0","SAR","015795017321049","2026-03-11"
"Visa-BLKU-0001909","Visa","2026-03-12","AlQurashi-KSA","68011","49003","1075.0","SAR","015795017321049","2026-03-12"
"Visa-BLKU-0001910","Visa","2026-03-13","AlQurashi-KSA","68011","49003","2434.0","SAR","015795017321049","2026-03-13"
"Visa-BLKU-0001911","Visa","2026-03-14","AlQurashi-KSA","68011","49003","3684.0","SAR","015795017321049","2026-03-14"
"Visa-BLKU-0001912","Visa","2026-03-15","AlQurashi-KSA","68011","49003","1427.0","SAR","015795017321049","2026-03-15"
"Visa-BLKU-0001913","Visa","2026-03-16","AlQurashi-KSA","68011","49003","6380.0","SAR","015795017321049","2026-03-16"
"Visa-BLKU-0001914","Visa","2026-03-17","AlQurashi-KSA","68011","49003","3954.0","SAR","015795017321049","2026-03-17"
"Visa-BLKU-0001915","Visa","2026-03-18","AlQurashi-KSA","68011","49003","2312.0","SAR","015795017321049","2026-03-18"
"Visa-BLKU-0001916","Visa","2026-03-19","AlQurashi-KSA","68011","49003","5116.0","SAR","015795017321049","2026-03-19"
"Visa-BLKU-0001917","Visa","2026-03-20","AlQurashi-KSA","68011","49003","3806.0","SAR","015795017321049","2026-03-20"
"Visa-BLKU-0001918","Visa","2026-03-21","AlQurashi-KSA","68011","49003","718.0","SAR","015795017321049","2026-03-21"
"Visa-BLKU-0001919","Visa","2026-03-22","AlQurashi-KSA","68011","49003","1711.0","SAR","015795017321049","2026-03-22"
"Visa-BLKU-0001920","Visa","2026-03-23","AlQurashi-KSA","68011","49003","20.0","SAR","015795017321049","2026-03-23"
"Visa-BLKU-0001921","Visa","2026-03-24","AlQurashi-KSA","68011","49003","3180.0","SAR","015795017321049","2026-03-24"
"Visa-BLKU-0001922","Visa","2026-03-25","AlQurashi-KSA","68011","49003","1785.0","SAR","015795017321049","2026-03-25"
"Visa-BLKU-0001923","Visa","2026-03-26","AlQurashi-KSA","68011","49003","459.0","SAR","015795017321049","2026-03-26"
"Visa-BLKU-0001924","Visa","2026-03-27","AlQurashi-KSA","68011","49003","99.0","SAR","015795017321049","2026-03-27"
"Visa-BLKU-0001925","Visa","2026-03-28","AlQurashi-KSA","68011","49003","298.0","SAR","015795017321049","2026-03-28"
"Visa-BLKU-0001926","Visa","2026-03-29","AlQurashi-KSA","68011","49003","978.0","SAR","015795017321049","2026-03-29"
"Visa-BLKU-0001927","Visa","2026-03-30","AlQurashi-KSA","68011","49003","2234.0","SAR","015795017321049","2026-03-30"
"Visa-BLKU-0001928","Visa","2026-03-31","AlQurashi-KSA","68011","49003","18900.0","SAR","015795017321049","2026-03-31"
