"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"Cash-PAYMENT-DAMRIVEIRA/14906 REFUND","Cash","2026-03-22","AlQurashi-KSA","122015","106008","-399.0","SAR","Cash DAMRIVEIRA","2026-03-22"
"Cash-PAYMENT-JUBAIL/38174 REFUND","Cash","2026-03-16","AlQurashi-KSA","4005","3005","-195.0","SAR","Cash AL JUBAIL MALL","2026-03-16"
"Cash-BLKU-0001378","Cash","2026-03-05","AlQurashi-KSA","4004","3004","1274.0","SAR","CashOth Mall Hail","2026-03-05"
"Cash-BLKU-0001379","Cash","2026-03-06","AlQurashi-KSA","4004","3004","1465.0","SAR","CashOth Mall Hail","2026-03-06"
"Cash-BLKU-0001380","Cash","2026-03-07","AlQurashi-KSA","4004","3004","2156.0","SAR","CashOth Mall Hail","2026-03-07"
"Cash-BLKU-0001381","Cash","2026-03-08","AlQurashi-KSA","4004","3004","1836.0","SAR","CashOth Mall Hail","2026-03-08"
"Cash-BLKU-0001382","Cash","2026-03-09","AlQurashi-KSA","4004","3004","1154.0","SAR","CashOth Mall Hail","2026-03-09"
"Cash-BLKU-0001383","Cash","2026-03-10","AlQurashi-KSA","4004","3004","1696.0","SAR","CashOth Mall Hail","2026-03-10"
"Cash-BLKU-0001384","Cash","2026-03-11","AlQurashi-KSA","4004","3004","1122.0","SAR","CashOth Mall Hail","2026-03-11"
"Cash-BLKU-0001385","Cash","2026-03-12","AlQurashi-KSA","4004","3004","3523.0","SAR","CashOth Mall Hail","2026-03-12"
"Cash-BLKU-0001386","Cash","2026-03-13","AlQurashi-KSA","4004","3004","2484.0","SAR","CashOth Mall Hail","2026-03-13"
"Cash-BLKU-0001387","Cash","2026-03-14","AlQurashi-KSA","4004","3004","1765.0","SAR","CashOth Mall Hail","2026-03-14"
"Cash-BLKU-0001388","Cash","2026-03-15","AlQurashi-KSA","4004","3004","3431.0","SAR","CashOth Mall Hail","2026-03-15"
"Cash-BLKU-0001390","Cash","2026-03-16","AlQurashi-KSA","4004","3004","1868.0","SAR","CashOth Mall Hail","2026-03-16"
"Cash-BLKU-0001391","Cash","2026-03-17","AlQurashi-KSA","4004","3004","1618.0","SAR","CashOth Mall Hail","2026-03-17"
"Cash-BLKU-0001392","Cash","2026-03-18","AlQurashi-KSA","4004","3004","3951.0","SAR","CashOth Mall Hail","2026-03-18"
"Cash-BLKU-0001393","Cash","2026-03-19","AlQurashi-KSA","4004","3004","4364.0","SAR","CashOth Mall Hail","2026-03-19"
"Cash-BLKU-0001394","Cash","2026-03-20","AlQurashi-KSA","4004","3004","1793.01","SAR","CashOth Mall Hail","2026-03-20"
"Cash-BLKU-0001395","Cash","2026-03-21","AlQurashi-KSA","4004","3004","1748.0","SAR","CashOth Mall Hail","2026-03-21"
"Cash-BLKU-0001397","Cash","2026-03-22","AlQurashi-KSA","4004","3004","2691.0","SAR","CashOth Mall Hail","2026-03-22"
"Cash-BLKU-0001398","Cash","2026-03-23","AlQurashi-KSA","4004","3004","2686.0","SAR","CashOth Mall Hail","2026-03-23"
"Cash-BLKU-0001399","Cash","2026-03-24","AlQurashi-KSA","4004","3004","3957.0","SAR","CashOth Mall Hail","2026-03-24"
"Cash-BLKU-0001400","Cash","2026-03-25","AlQurashi-KSA","4004","3004","492.0","SAR","CashOth Mall Hail","2026-03-25"
"Cash-BLKU-0001401","Cash","2026-03-26","AlQurashi-KSA","4004","3004","1141.0","SAR","CashOth Mall Hail","2026-03-26"
"Cash-BLKU-0001402","Cash","2026-03-27","AlQurashi-KSA","4004","3004","579.0","SAR","CashOth Mall Hail","2026-03-27"
"Cash-BLKU-0001403","Cash","2026-03-28","AlQurashi-KSA","4004","3004","1776.0","SAR","CashOth Mall Hail","2026-03-28"
"Cash-BLKU-0001404","Cash","2026-03-29","AlQurashi-KSA","4004","3004","199.0","SAR","CashOth Mall Hail","2026-03-29"
