"ReceiptNumber","ReceiptMethod","ReceiptDate","BusinessUnit","CustomerAccountNumber","CustomerSite","Amount","Currency","RemittanceBankAccountNumber","AccountingDate"
"AMEX-BLKU-0004434","AMEX","2026-04-27","AlQurashi-KSA","105012","91003","0.0","SAR","157-95017321-YASMEENPLZ","2026-04-27"
"Cash-PAYMENT-RASHIDABHA/70355 REFUND","Cash","2026-03-16","AlQurashi-KSA","68012","49004","-160.0","SAR","CashRASHIDABHA","2026-03-16"
"Cash-BLKU-0004434","Cash","2026-04-27","AlQurashi-KSA","105012","91003","71863.0","SAR","Cash YASMEENPLZ","2026-04-27"
"Cash-BLKU-0004426","Cash","2026-05-01","AlQurashi-KSA","105012","91003","2649.0","SAR","Cash YASMEENPLZ","2026-05-01"
"Cash-BLKU-0004427","Cash","2026-06-01","AlQurashi-KSA","105012","91003","2423.0","SAR","Cash YASMEENPLZ","2026-06-01"
"Cash-BLKU-0004428","Cash","2026-07-01","AlQurashi-KSA","105012","91003","3420.0","SAR","Cash YASMEENPLZ","2026-07-01"
"Cash-BLKU-0004429","Cash","2026-08-01","AlQurashi-KSA","105012","91003","3265.0","SAR","Cash YASMEENPLZ","2026-08-01"
"Cash-BLKU-0004430","Cash","2026-09-01","AlQurashi-KSA","105012","91003","3982.0","SAR","Cash YASMEENPLZ","2026-09-01"
"Cash-BLKU-0004431","Cash","2026-10-01","AlQurashi-KSA","105012","91003","4566.0","SAR","Cash YASMEENPLZ","2026-10-01"
"Cash-BLKU-0004432","Cash","2026-11-01","AlQurashi-KSA","105012","91003","1986.0","SAR","Cash YASMEENPLZ","2026-11-01"
"Cash-BLKU-0004433","Cash","2026-12-01","AlQurashi-KSA","105012","91003","6353.0","SAR","Cash YASMEENPLZ","2026-12-01"
"Mada-BLKU-0004434","Mada","2026-04-27","AlQurashi-KSA","105012","91003","176647.0","SAR","157-95017321-YASMEENPLZ","2026-04-27"
"Mada-BLKU-0004426","Mada","2026-05-01","AlQurashi-KSA","105012","91003","7856.0","SAR","157-95017321-YASMEENPLZ","2026-05-01"
"Mada-BLKU-0004427","Mada","2026-06-01","AlQurashi-KSA","105012","91003","8890.0","SAR","157-95017321-YASMEENPLZ","2026-06-01"
"Mada-BLKU-0004428","Mada","2026-07-01","AlQurashi-KSA","105012","91003","11611.0","SAR","157-95017321-YASMEENPLZ","2026-07-01"
"Mada-BLKU-0004429","Mada","2026-08-01","AlQurashi-KSA","105012","91003","10950.0","SAR","157-95017321-YASMEENPLZ","2026-08-01"
"Mada-BLKU-0004430","Mada","2026-09-01","AlQurashi-KSA","105012","91003","11570.0","SAR","157-95017321-YASMEENPLZ","2026-09-01"
"Mada-BLKU-0004431","Mada","2026-10-01","AlQurashi-KSA","105012","91003","11611.0","SAR","157-95017321-YASMEENPLZ","2026-10-01"
"Mada-BLKU-0004432","Mada","2026-11-01","AlQurashi-KSA","105012","91003","17260.0","SAR","157-95017321-YASMEENPLZ","2026-11-01"
"Mada-BLKU-0004433","Mada","2026-12-01","AlQurashi-KSA","105012","91003","10041.0","SAR","157-95017321-YASMEENPLZ","2026-12-01"
"Master-BLKU-0004434","Master","2026-04-27","AlQurashi-KSA","105012","91003","1698.0","SAR","157-95017321-YASMEENPLZ","2026-04-27"
"Master-BLKU-0004431","Master","2026-10-01","AlQurashi-KSA","105012","91003","199.0","SAR","157-95017321-YASMEENPLZ","2026-10-01"
"Master-BLKU-0004432","Master","2026-11-01","AlQurashi-KSA","105012","91003","299.0","SAR","157-95017321-YASMEENPLZ","2026-11-01"
"Visa-BLKU-0004434","Visa","2026-04-27","AlQurashi-KSA","105012","91003","10425.0","SAR","157-95017321-YASMEENPLZ","2026-04-27"
"Visa-BLKU-0004426","Visa","2026-05-01","AlQurashi-KSA","105012","91003","534.0","SAR","157-95017321-YASMEENPLZ","2026-05-01"
"Visa-BLKU-0004427","Visa","2026-06-01","AlQurashi-KSA","105012","91003","398.0","SAR","157-95017321-YASMEENPLZ","2026-06-01"
"Visa-BLKU-0004428","Visa","2026-07-01","AlQurashi-KSA","105012","91003","448.0","SAR","157-95017321-YASMEENPLZ","2026-07-01"
"Visa-BLKU-0004429","Visa","2026-08-01","AlQurashi-KSA","105012","91003","704.0","SAR","157-95017321-YASMEENPLZ","2026-08-01"
"Visa-BLKU-0004430","Visa","2026-09-01","AlQurashi-KSA","105012","91003","573.0","SAR","157-95017321-YASMEENPLZ","2026-09-01"
"Visa-BLKU-0004431","Visa","2026-10-01","AlQurashi-KSA","105012","91003","499.0","SAR","157-95017321-YASMEENPLZ","2026-10-01"
"Visa-BLKU-0004432","Visa","2026-11-01","AlQurashi-KSA","105012","91003","1204.0","SAR","157-95017321-YASMEENPLZ","2026-11-01"
"Visa-BLKU-0004433","Visa","2026-12-01","AlQurashi-KSA","105012","91003","1018.0","SAR","157-95017321-YASMEENPLZ","2026-12-01"
