"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-150.328","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0001518-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-88.0336","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0001519-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-41.5368","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0001520-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-87.2907","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0001521-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-94.7416","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0001522-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-81.282","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0001523-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-136.8684","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0001524-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-10.335","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0001525-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-135.1641","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0001526-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-143.0738","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0001527-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-79.2062","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0001528-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-58.995","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0001529-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-116.4168","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0001530-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-127.9536","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0001531-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-155.6157","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0001533-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-44.2025","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0001534-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-31.0488","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0001535-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-41.0343","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0001536-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-81.5442","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0001537-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-17.6766","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0001538-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-36.4021","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0001539-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-27.9243","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0001540-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-27.7276","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0001541-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-43.0445","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0001542-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-27.1814","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0001543-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-43.9185","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0001544-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
"-51.2382","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0001545-MISC","Visa","Bank Charge","AL Jazeerah BankRYDPARK"
