"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-37.3198","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0001210-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-52.0467","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0001211-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-11.0124","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0001212-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-36.2054","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0001213-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-22.3744","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0001214-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-80.4954","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0001215-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-25.0182","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0001216-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-23.9257","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0001217-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-58.8421","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0001218-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-34.7852","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0001219-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-28.3394","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0001220-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-31.0925","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0001221-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-15.7975","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0001222-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-14.6176","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0001223-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-41.5805","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0001224-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-8.4341","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0001228-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-2.5128","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0001229-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-8.6963","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0001230-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-44.4429","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0001231-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-15.8412","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0001233-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-8.5215","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0001234-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
"-14.6395","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0001235-MISC","Visa","Bank Charge","Riyadh Bank - Granada Mall"
