"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-56.1246","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0007685-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-152.1726","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0007686-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-54.4686","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0007687-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-77.832","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0007688-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-73.0641","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0007689-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-90.3417","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0007690-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-77.8251","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0007691-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-53.199","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0007692-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-44.2428","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0007693-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-70.9458","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0007694-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-57.4287","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0007695-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-79.0947","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0007697-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-47.1753","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0007698-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-57.6771","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0007699-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-92.6532","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0007700-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-21.7212","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0007701-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-11.8611","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0007702-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-7.6245","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0007703-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-4.9818","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0007704-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-0.7935","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0007705-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-3.3603","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0007706-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-12.3096","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0007707-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-8.9079","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0007708-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-3.8778","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0007709-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-9.3219","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0007710-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
"-2.2494","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0007711-MISC","Mada","Bank Charge","AL Jazeerah Bank TIFZHRNCTR#"
