"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-1.6387","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0000794-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-2.1631","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0000795-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-47.8515","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0000796-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-4.8507","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0000798-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-6.8609","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0000799-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-34.8507","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0000801-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-21.7844","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0000803-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-7.6038","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0000804-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-7.8223","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0000805-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-14.3336","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0000806-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-2.5346","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0000807-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-26.2855","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0000809-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-30.8085","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0000810-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-9.0677","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0000811-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-6.5113","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0000812-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-15.8849","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0000815-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-6.555","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0000816-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-6.3146","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Master-BLKU-0000819-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-5.2003","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0000821-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-6.5331","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Master-BLKU-0000822-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-10.5535","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Master-BLKU-0000823-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
"-6.5113","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Master-BLKU-0000824-MISC","Master","Bank Charge","AL Jazeerah BankAJAWEED"
