"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-119.8047","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Mada-BLKU-0002063-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-157.8099","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Mada-BLKU-0002064-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-168.9534","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Mada-BLKU-0002065-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-148.6743","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Mada-BLKU-0002066-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-115.4025","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Mada-BLKU-0002067-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-153.2835","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Mada-BLKU-0002068-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-193.4553","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Mada-BLKU-0002069-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-127.8846","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Mada-BLKU-0002070-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-178.6479","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Mada-BLKU-0002071-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-243.7632","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Mada-BLKU-0002072-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-231.7986","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Mada-BLKU-0002073-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-245.916","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Mada-BLKU-0002074-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-217.9848","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Mada-BLKU-0002075-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-202.4943","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Mada-BLKU-0002077-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-237.6843","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Mada-BLKU-0002078-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-56.7456","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Mada-BLKU-0002079-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-51.2463","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Mada-BLKU-0002080-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-73.3884","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Mada-BLKU-0002081-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-52.8264","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Mada-BLKU-0002082-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-58.3395","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Mada-BLKU-0002083-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-45.2709","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Mada-BLKU-0002084-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-90.7764","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Mada-BLKU-0002085-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-62.9004","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Mada-BLKU-0002086-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-154.7049","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Mada-BLKU-0002087-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-45.5538","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Mada-BLKU-0002088-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-51.2049","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Mada-BLKU-0002089-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-21.6384","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Mada-BLKU-0002090-MISC","Mada","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
