"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-11.6023","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0001210-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-3.2556","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0001211-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-9.7888","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0001212-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-24.2535","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0001213-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-7.9315","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0001214-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-56.1108","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0001215-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-3.496","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0001216-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-5.2658","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0001217-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-3.2775","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0001218-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-3.496","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0001219-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-18.6162","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0001220-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-6.5331","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0001223-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-2.1631","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0001224-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-6.7516","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0001227-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-4.2607","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0001229-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-9.0459","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Master-BLKU-0001231-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-2.5128","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Master-BLKU-0001234-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
"-3.2556","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Master-BLKU-0001235-MISC","Master","Bank Charge","Riyadh Bank - Granada Mall"
